scenario,lecture_id,rank_score,similarity,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score
low_workload,2768545,0.9166382004609923,0.8817688578014177,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116
low_workload,2768543,0.9137558915679146,0.8776512736684494,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184
low_workload,2249333,0.9105910650491653,0.8774158072130933,0.988,0.789042,0.210959,0.853425,0.146576,0.965754,0.034247,0.712328,0.117809,0.969726,0.019726
low_workload,2576289,0.9051259155291485,0.8756084507559265,0.974,0.793103,0.206897,0.839081,0.160919,0.890805,0.109196,0.804597,0.091954,0.964368,0.024712
low_workload,2768544,0.9021988977261526,0.8619984253230751,0.996,0.721311,0.278688,0.979509,0.020492,0.963115,0.036885,0.586065,0.045082,0.991803,0.0
low_workload,991007,0.8995953523066449,0.86170764615235,0.988,0.758588,0.241412,0.849237,0.150763,0.976144,0.023855,0.553435,0.234732,0.963931,0.023569
low_workload,120875,0.8995480213302987,0.8676400304718553,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632
low_workload,2768546,0.8994184636428169,0.8571692337754527,0.998,0.768019,0.231983,0.97973,0.020271,0.93919,0.060812,0.565316,0.056307,0.991667,0.001802
low_workload,991009,0.8953893056974898,0.8599847224249855,0.978,0.704255,0.295745,0.797872,0.202128,0.965957,0.034042,0.72766,0.182979,0.96766,0.022979
low_workload,2376792,0.8939802898856384,0.8571146998366262,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714
learning_quality,2748975,0.5290165705706866,0.37602367224383804,0.886,0.436171,0.563829,0.957447,0.042553,0.659574,0.340425,0.308511,0.244681,0.382979,0.425532
learning_quality,991606,0.5196356726215878,0.3531938180308398,0.908,0.473685,0.526316,0.905263,0.094737,0.799999,0.199999,0.099999,0.836843,0.39579,0.406316
learning_quality,103774,0.5183188226421814,0.3547411752031164,0.9,0.780575,0.219424,0.938849,0.061151,0.76259,0.23741,0.356116,0.298561,0.457554,0.356834
learning_quality,43950,0.5062931033962398,0.3341330048517712,0.908,0.438272,0.561729,0.444445,0.555556,0.641976,0.358025,0.234568,0.518518,0.695679,0.093827
learning_quality,44167,0.4862684484921923,0.3038120692745604,0.912,0.517857,0.482143,0.955357,0.044643,0.696429,0.303571,0.375,0.205357,0.457589,0.339286
learning_quality,488935,0.4851179393212161,0.29188277045888017,0.936,0.149289,0.850711,0.976303,0.023696,0.64218,0.35782,0.616114,0.066351,0.416351,0.380805
learning_quality,993442,0.48197066773274155,0.27281523961820225,0.97,0.627193,0.372807,0.942983,0.057018,0.767544,0.232456,0.31579,0.359649,0.405263,0.396491
learning_quality,45314,0.4815345826518313,0.2901922609311876,0.928,0.409836,0.590164,0.934426,0.065574,0.885246,0.114754,0.188525,0.565574,0.404918,0.396721
learning_quality,226710,0.4800069571563016,0.26915279593757374,0.972,0.76506,0.23494,0.981928,0.018072,0.771084,0.228915,0.277108,0.445783,0.416868,0.380723
learning_quality,77837,0.47903125196114726,0.26433035994449616,0.98,0.456141,0.543859,0.938597,0.061403,0.909357,0.090644,0.049707,0.894737,0.4,0.4
avoid_team_project,42259,0.8055576197961014,0.7796537425658593,0.866,0.950001,0.050001,0.983334,0.016667,0.591666,0.408334,0.191666,0.608334,0.715833,0.053333
avoid_team_project,2576278,0.8048830465026107,0.7504043521465866,0.932,0.981132,0.018868,1.0,0.0,0.801886,0.198113,0.292453,0.264151,0.741509,0.015094
avoid_team_project,2768545,0.8038052604442358,0.7205789434917655,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116
avoid_team_project,120875,0.803725803668607,0.7307511480980101,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632
avoid_team_project,2768543,0.802553926174968,0.7187913231070973,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184
avoid_team_project,2376792,0.7957866677050531,0.7168380967215047,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714
avoid_team_project,2376786,0.7955663331146616,0.7165233330209452,0.98,0.914773,0.085227,0.971591,0.02841,0.897727,0.102273,0.420455,0.147727,0.896592,0.004546
avoid_team_project,2249342,0.7915618131658385,0.7159454473797693,0.968,0.744898,0.255102,0.969388,0.030612,0.938775,0.061225,0.316326,0.244899,0.935714,0.032653
avoid_team_project,2249366,0.7912069611601638,0.7188670873716626,0.96,0.914352,0.085648,0.986112,0.013889,0.928241,0.07176,0.444445,0.168981,0.631713,0.135185
avoid_team_project,2768546,0.7899787247228132,0.7008267496040189,0.998,0.768019,0.231983,0.97973,0.020271,0.93919,0.060812,0.565316,0.056307,0.991667,0.001802
