lecture_id,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_count,text_negative_ratio,text_neutral_count,text_neutral_ratio,text_positive_count,text_positive_ratio,text_review_count,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
2455050,20,224,2.8,0.56,0.272321,0.727679,0.066964,0.933036,0.462054,0.537946,0.062499,0.640624,0.948883,0.020312,0.025,0.0,0.021469,0.0,0.0,0.0,0.0,0.0,0.0,0.356159,0.032419,0.211569,8,0.4,7,0.35,5,0.25,20,0.0,0.0,0.0,0.073732,0.210126,0.11998
2009679,20,187,4.23,0.846,0.518717,0.481284,0.954546,0.045455,0.732621,0.267379,0.323529,0.371658,0.4,0.4,0.0,0.0,0.021469,0.0,0.0,0.0,0.0,0.053159,0.053159,0.0,0.0,0.0,1,0.05,1,0.05,18,0.9,20,0.0,0.0,0.026038,0.0,0.0,0.0
2249430,20,109,4.08,0.816,0.243119,0.75688,0.747707,0.252294,0.678899,0.321101,0.522935,0.215596,0.401834,0.401834,0.0,0.064595,0.0667,0.0,0.079047,0.034431,0.06073,0.156487,0.18529,0.0,0.032419,0.064838,4,0.2,4,0.2,12,0.6,20,0.0,0.026038,0.026038,0.0,0.268803,0.059163
2315489,20,83,4.55,0.91,0.53012,0.46988,0.981928,0.018072,0.801204,0.198796,0.487951,0.144578,0.407229,0.395181,0.0,0.287381,0.20123,0.0,0.0,0.0,0.0,0.068373,0.068373,0.0,0.0,0.0,0,0.0,1,0.05,19,0.95,20,0.0,0.078113,0.078113,0.0,0.0,0.0
1688612,14,54,3.26,0.652,0.62963,0.370371,0.925926,0.074074,0.62963,0.37037,0.194445,0.722222,0.641667,0.187964,0.052528,0.128844,0.135329,0.0,0.0,0.0,0.0,0.056698,0.091404,0.141301,0.046313,0.137434,7,0.5,2,0.142857,5,0.357143,14,0.0,0.0,0.100908,0.015721,0.071429,0.031442
2768546,20,222,4.99,0.998,0.768019,0.231983,0.97973,0.020271,0.93919,0.060812,0.565316,0.056307,0.991667,0.001802,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.013755,0.013755,0.0,0.318924,0.318924,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0
43086,20,86,4.38,0.876,0.627907,0.372093,0.97093,0.02907,0.674419,0.325581,0.313953,0.424419,0.415116,0.380233,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.226902,0.23908,0.0,0.135075,0.135075,0,0.0,1,0.05,19,0.95,20,0.0,0.131991,0.131991,0.0,0.0,0.0
77952,20,242,4.29,0.858,0.28719,0.71281,0.460744,0.539256,0.75,0.25,0.22314,0.481405,0.396694,0.403925,0.0,0.061321,0.042938,0.0,0.0,0.0,0.232369,0.127589,0.191202,0.100545,0.128623,0.161042,2,0.1,2,0.1,16,0.8,20,0.0,0.026038,0.026038,0.0,0.110795,0.024386
2086999,20,221,4.59,0.918,0.624435,0.375566,0.977376,0.022625,0.69457,0.30543,0.493212,0.097284,0.40362,0.399095,0.0,0.165947,0.116199,0.0,0.0,0.0,0.0,0.287782,0.287782,0.0,0.211763,0.211763,0,0.0,0,0.0,20,1.0,20,0.0,0.026038,0.026038,0.0,0.0,0.0
104224,20,368,3.95,0.79,0.430706,0.569294,0.94837,0.051631,0.828805,0.171196,0.404891,0.258153,0.144429,0.654619,0.0,0.151512,0.212184,0.0,0.0,0.0,0.044483,0.060889,0.127803,0.0,0.031892,0.031892,4,0.2,4,0.2,12,0.6,20,0.0,0.0,0.0,0.0,0.0,0.0
