lecture_id,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_count,text_negative_ratio,text_neutral_count,text_neutral_ratio,text_positive_count,text_positive_ratio,text_review_count,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
43652,20,505,3.92,0.784,0.533664,0.466337,0.521782,0.478218,0.622772,0.377228,0.007921,0.983169,0.727822,0.026831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098511,0.098511,0.0,0.0,0.0,1,0.05,1,0.05,18,0.9,20,0.0,0.0,0.0,0.0,0.05,0.011005
42880,20,430,3.76,0.752,0.545349,0.454651,0.886047,0.113954,0.69186,0.30814,0.566279,0.215117,0.404651,0.395349,0.025,0.227268,0.286699,0.137214,0.158094,0.191981,0.413671,0.162186,0.377863,0.523854,0.142668,0.44347,7,0.35,5,0.25,8,0.4,20,0.0,0.0,0.0,0.024386,0.0,0.048771
2377016,20,108,4.76,0.952,0.407407,0.592592,0.976852,0.023148,0.833333,0.166666,0.444444,0.134259,0.408796,0.392592,0.0,0.245286,0.171754,0.0,0.270133,0.117663,0.0,0.113095,0.113095,0.0,0.164232,0.164232,0,0.0,0,0.0,20,1.0,20,0.0,0.026038,0.026038,0.0,0.0,0.0
43657,20,754,4.37,0.874,0.31565,0.68435,0.37069,0.62931,0.742042,0.257958,0.011273,0.973476,0.715783,0.050995,0.0,0.150456,0.105352,0.0,0.079047,0.034431,0.0,0.030725,0.030725,0.0,0.031892,0.031892,0,0.0,1,0.05,19,0.95,20,0.0,0.032677,0.032677,0.0,0.355398,0.078222
109162,20,266,4.71,0.942,0.680451,0.319549,0.896616,0.103384,0.757519,0.242481,0.259399,0.486841,0.40188,0.420677,0.0,0.106417,0.074515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135075,0.135075,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0
2086913,20,117,3.27,0.654,0.141025,0.858974,0.106838,0.893162,0.628205,0.371795,0.166666,0.649573,0.835043,0.067949,0.025,0.061321,0.064408,0.0,0.0,0.0,0.050246,0.058478,0.085989,0.199455,0.095677,0.198333,5,0.25,4,0.2,11,0.55,20,0.184308,0.06809,0.120165,0.017388,0.854431,0.217639
120901,20,307,4.58,0.916,0.42671,0.57329,0.918567,0.081433,0.719869,0.280131,0.081433,0.824105,0.399837,0.399837,0.025,0.137348,0.139112,0.0,0.0,0.049637,0.0,0.053159,0.065336,0.0,0.102129,0.102129,1,0.05,6,0.3,13,0.65,20,0.0,0.033805,0.033805,0.0,0.05,0.011005
484381,20,124,4.15,0.83,0.814516,0.185484,0.89113,0.108871,0.939516,0.060484,0.270161,0.471774,0.4,0.4,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.088986,0.088986,0.0,0.096731,0.096731,1,0.05,0,0.0,19,0.95,20,0.0,0.105031,0.105031,0.0,0.25,0.055024
2377082,8,48,4.73,0.946,0.624999,0.374999,0.989584,0.010417,0.708333,0.291666,0.020834,0.958333,0.73125,0.033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102154,0.102154,0.0,0.0,0.0,0,0.0,0,0.0,8,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0
105714,20,89,3.89,0.778,0.55618,0.44382,0.94382,0.05618,0.567416,0.432584,0.455056,0.185393,0.686517,0.085393,0.0,0.521233,0.386446,0.0,0.079047,0.034431,0.0,0.204843,0.218598,0.0,0.223946,0.223946,0,0.0,1,0.05,19,0.95,20,0.0,0.09564,0.09564,0.0,0.0,0.0
42294,20,93,2.26,0.452,0.23656,0.763441,0.935483,0.064517,0.650537,0.349463,0.182795,0.575269,0.451613,0.362904,0.0,0.0,0.045231,0.0,0.0,0.0,0.06073,0.0,0.016625,0.098911,0.032419,0.064312,14,0.7,3,0.15,3,0.15,20,0.0,0.0,0.0,0.0,0.0,0.0
2010023,20,234,4.64,0.928,0.30342,0.696581,0.649572,0.350427,0.735043,0.264957,0.354701,0.271368,0.779274,0.114745,0.0,0.091982,0.064408,0.0,0.0,0.0,0.0,0.0,0.013755,0.0,0.032419,0.032419,0,0.0,2,0.1,18,0.9,20,0.0,0.0,0.0,0.0,0.0,0.0
42291,20,86,4.12,0.824,0.953489,0.046511,0.982558,0.017442,0.662791,0.337209,0.377907,0.395349,0.334884,0.456977,0.0,0.0,0.0,0.0,0.079047,0.034431,0.0,0.083738,0.102285,0.0,0.032419,0.032419,1,0.05,3,0.15,16,0.8,20,0.0,0.078113,0.078113,0.0,0.0,0.0
2576306,20,62,4.5,0.9,0.951613,0.048387,0.983871,0.016129,0.862903,0.137097,0.266129,0.338709,0.025806,0.957258,0.0,0.165947,0.116199,0.0,0.101806,0.044344,0.0,0.075231,0.075231,0.0,0.031892,0.031892,0,0.0,0,0.0,20,1.0,20,0.0,0.039678,0.039678,0.0,0.0,0.0
1937034,20,397,4.9,0.98,0.596977,0.403022,0.81738,0.18262,0.93199,0.06801,0.115869,0.767003,0.656549,0.171663,0.0,0.173609,0.121564,0.0,0.158094,0.068862,0.0,0.064044,0.064044,0.0,0.135075,0.135075,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.4,0.088039
1937144,20,155,3.54,0.708,0.790323,0.209677,0.96129,0.03871,0.338709,0.661291,0.364517,0.270967,0.336774,0.483549,0.0,0.030661,0.021469,0.0,0.079047,0.034431,0.067748,0.057244,0.123141,0.098911,0.032419,0.064312,2,0.1,7,0.35,11,0.55,20,0.092154,0.026038,0.078113,0.0,0.0,0.0
44058,20,236,4.53,0.906,0.377118,0.622881,0.77966,0.220338,0.701272,0.298729,0.192796,0.584746,0.492372,0.308051,0.0,0.182173,0.127561,0.0,0.0,0.0,0.0,0.163154,0.163154,0.0,0.064312,0.064312,1,0.05,1,0.05,18,0.9,20,0.0,0.032677,0.032677,0.0,0.05,0.011005
