lecture_id,book_isbn,book_title,book_author,book_publisher,book_price,used_price,cover_image
103298,9791162262931,노동경제학,George J. Borjas,시그마프레스,33000,20000,https://cf-cii.everytime.kr/279f288b0b793859f2e1851b062ea13839155f17dee0cb8f098b4bd533b701c0/1688896950512_0.jpg
103298,9789813150256,Labor Economics,George J Borjas,MCGRAW-HILL Higher Education,35000,15000,https://cf-cii.everytime.kr/440249c29e5d906f9aab97fc4f570c89bdb39992716eab547380aefabfb6d67d/1607066445502_0.jpg
103298,9788968668531,노동경제학(7판),George J Borjas,시그마프레스,30000,15000,https://cf-cii.everytime.kr/0c2743c26ac3865f124629428e6b9c482354c93a9084247a03e1d09704ec7be8/1645185941151_0.jpg
103298,9781292060477,Modern Labor Economics,Ronald Ehrenberg,Pearson,43000,20000,https://cf-cii.everytime.kr/ba5eeaba285a795c02065fd496cd270e42e911b93cf7125843fa6902ccdb50a4/1535285429065_0.jpg
103298,9788945010452,현대노동경제학: 이론과공공정책(10판),Ehrenberg,Pearson Education,29000,8000,https://cf-cii.everytime.kr/2cd09ea7c70c30bbbef48ac807bc83a6e7a132f69f6dbc9b356fddc311bb5539/1615354719904_0.jpg
103300,9788970138756,한국 자본주의 모델,이병천,책세상,25000,5000,https://cf-cii.everytime.kr/41e42ca9c923ea2631c96cfcda8e028c80280c6d5d150b9850060a19c636328c/1752997785476_0.jpg
103300,4808950913243,인간의 얼굴을 한 세계화,조지프 E 스티글리츠,21세기북스,20000,8000,https://cf-cii.everytime.kr/7dd7c3b0241078fb007fbca0c7ee024ec015a4046e34d7c0513eed95aa2bfdae/1552026397630_0.jpg
103300,9788950913243,인간의 얼굴을 한 세계화(양장본 HardCover),조지프 E. 스티글리츠,21세기북스,25000,15000,https://cf-cii.everytime.kr/6c06c618987f90491d36160da5af44c73b0e3a9406b861e21d3be4954d4bdd68/1536501481929_0.jpg
103300,9788936485276,주식회사 한국의 구조조정 무엇이 문제인가,"신장섭, 장하준",창비,15000,8000,https://cf-cii.everytime.kr/247b106f20bd67b87704bf6e42d7107cfb4d8ff78eb1122c90e1475f8b09fe8d/1536501357025_0.jpg
103300,9788960510029,국가의 역할,장하준,부키,16000,10000,https://cf-cii.everytime.kr/8407048f7f8733e3dd92daeb70a195a6cdf7688266b105643e2ffcdd2ba5e301/1567645751409_0.jpg
103300,9788960511194,그들이 말하지 않는 23가지,장하준,부키,14800,10000,https://cf-cii.everytime.kr/b44fd6817d4eea28d14ad1dfee496d186c940f3e2a0fb712133b1656c158642e/1644805743832_0.jpg
103304,9781319243586,Macroeconomics,그레고리 맨큐,Macmillan,20000,22000,https://cf-cii.everytime.kr/1c97d783a30795a04c19e99c9fecd77ae4ee0897eada353053187acf92c31a6d/1677819956580_0.jpg
103304,9780716767114,Macroeconomics 6/E,Mankiw N Gregory,Worth,39000,13000,https://cf-cii.everytime.kr/de3f6d2be5211b3bc12cd16463620ee1c85575e2d77519fed46258115973718a/1630845870751_0.jpg
103304,9780230241923,Intermediate Macroeconomics Abridged 7/E,그레고리 맨큐,Palgrave,25000,13000,https://cf-cii.everytime.kr/084cc912c0d4ffe5e8cdbf5d1f29d57def4291f1f11996523bbe98b830e839d5/1599060222382_0.jpg
103304,9788968667640,거시경제학(9판)(양장본 HardCover),그레고리 맨큐,시그마프레스,39000,12000,https://cf-cii.everytime.kr/2135c4c44fe8ac54a41746e52e820aca33bc5970716b8958a33a14b3457be502/1691504671768_0.jpg
103304,9781464121678,Macroeconomics 8/E (Paperback),Mankiw N Gregory,Macmillan,43000,8000,https://cf-cii.everytime.kr/daeb5f1093f6a6551a58c57e22ef1159e8d3f7d4cd80ef41d1ba6eef5df6f09c/1597588280902_0.jpg
103304,9788968661112,거시경제학(8판)(양장본 HardCover),그레고리 맨큐,시그마프레스,25000,17000,https://cf-cii.everytime.kr/f232246127f45e9c59804ccee116abf2428c28a1fdcbe50e358bb54243098de8/1689837634894_0.jpg
103316,9788942593132,구조해석,Aslam Kassimali,동화기술,35000,20000,https://cf-cii.everytime.kr/82481d59fa143c2eb5b0ffbbee90751279d4d11f77bf605ced9aaf47e2b726a7/1772789452245_0.jpg
103316,9788942591510,구조해석,Aslam Kassimali,동화기술,35000,18000,https://cf-cii.everytime.kr/12dd0e174299b96670d0e45c7927c2fba0a19015afea4f1f310fef30cea64067/1694256459349_0.jpg
103316,9791132101185,Beer의 재료역학,"페르디난드 P. 비어, E Russell Johnstonm Jr, John T Dewolf, David F. Mazurek",경문사(박문규),38000,15000,https://cf-cii.everytime.kr/7707414903138b6b8b9295c9b34d24383b3c2638d0266ef64d23eac2e06d04f6/1722162661955_0.jpg
103316,9791195444922,재료역학,R. C. Hibbeler,프로텍미디어,39000,7000,https://cf-cii.everytime.kr/79a562d69deaa5de11c20fc7341da3a974200386ff5d191bcfe50d5d030409c9/1773124204349_0.jpg
103316,9789814595247,Mechanics of Materials,"페르디난드 P. 비어, E. Russel Johnston, John Dewolf, David Mazurek",McGraw-Hill,41000,20000,https://cf-cii.everytime.kr/0b7a26c39171d2e7a7cdccd0497ae10c8d99b9f6458f0bf81009b15da4e09b96/1559206176491_0.jpg
103316,9788962183979,재료역학,"James M. Gere, Barry J. Goodno",Cengage Learning,49000,15000,https://cf-cii.everytime.kr/031c94ed0de0902ed319400c2ea2e112fac879c6d2357f7d740afd4ff6d7611f/1686294388627_0.jpg
103316,9791156152705,Beer의 재료역학(G/E),"페르디난드 P. 비어, E. 러셀 존스턴 주니어, John Dewolf, David F. Mazurek",McGraw-Hill,38000,20000,https://cf-cii.everytime.kr/61eee17b1cceb5276e95e5133c4369c24ed8339349e39317226656358aa81c5f/1692800606932_0.jpg
103316,9788942513895,구조해석,ASLAM KASSIMALI,동화기술,35000,14000,https://cf-cii.everytime.kr/2cdd74e55f0326032dca299a994231ff88d2a76e4771350be7a3966efc516336/1564139836098_0.jpg
103317,9780357420485,Principles of Geotechnical Engineering,Braja M. Das,Cengage Learning,65000,30000,https://cf-cii.everytime.kr/f16042b65c506dc7a009a38642be67b3c1545d5269f0627097c146508d58b8e5/1741415907558_0.jpg
103317,9781133108672,Principles of Geotechnical Engineering,"Braja M. Das, Khaled Sobhan",Cengage Learning,42000,18000,https://cf-cii.everytime.kr/24bc3844c621509a122f14e3b0731e670f8a8cd67b2841bf30afad318229ccf2/1713965791442_0.jpg
103317,9788962183771,토질역학,"Braja M. Das, Khaled Sobhan",Cengage Learning,36000,18000,https://cf-cii.everytime.kr/9e4f8a7343990a3a0a858275eba70f1f9fa1d09fcb770d42bd1de612c544f044/1713966024622_0.jpg
103317,9780495411321,Principles of Geotechnical Engineering (Paperback),Braja M Das,Cengage Learning,39000,25000,https://cf-cii.everytime.kr/a6d065d9cbe45f9f3fdcd17c2b5be8e1381bc733b7bc84b9491c243f2c809adf1503972719656/0.jpg
103393,9788964214374,마이크로전자회로,"Adel S. Sedra, Kenneth C. Smith, Tony Chan Carusone, Vincent Caudet",한티에듀,45000,10000,https://cf-cii.everytime.kr/5756cb514a97382d2bf791a7a59ce900a6bd3441bbbd0035786662a5f60002ec/1709529604187_0.jpg
103393,9791132101642,전자재료물성 및 소자공학,S. O. Kasap,McGraw-Hill,39000,7000,https://cf-cii.everytime.kr/ffc9145f91e025a9206ba6a7839ce553deac1950210016c130a2ee8fcf4c2cdd/1708488822754_0.jpg
103393,9788964212707,마이크로전자회로,"Adel S. Sedra, Kenneth C. Smith",한티미디어,43000,19000,https://cf-cii.everytime.kr/520d8be3cb538b8963ab5fd9d463c224ceff42e25d9ea6503ff202c0c060040a/1663784448526_0.jpg
103393,9780199339143,Microelectronic Circuits,Sedra,Oxford University Press,50000,20000,https://cf-cii.everytime.kr/c66d77d6e87cbd33a0524fbd0fc923731fd282448c5b0f2594e0751298d57ff1/1768714037046_0.jpg
103393,9788964210819,마이크로전자회로(6판)(CD1장포함),"Sedra, Smith",한티미디어,42000,30000,https://cf-cii.everytime.kr/b931178251edc133242d42d268e4f52b54dcf182c851467f92ab004814e9abe8/1520813077395_0.jpg
103412,9788966188888,한국문학강의,"조동일, 서대석, 이혜순, 김대행, 박희병, 오세영",길벗,19500,2900,https://cf-cii.everytime.kr/38483d050b2cb205beb46e826d7c25722a2049071f76c9163026015341edcb0f/1640533093337_0.jpg
103522,9788936310271,발달 심리학,"최경숙, 송하나",교문사,20000,7000,https://cf-cii.everytime.kr/3eea2f1230a6ae1da548c4759a066d3b0904b1080e557b9a089bda059f4540ca/1675911404106_0.jpg
103522,9788936307738,아동발달심리학,최경숙,교문사,20000,9000,https://cf-cii.everytime.kr/f2caf7a57be9e0286671f5303e559ae08913da4af0c35578d59b90ded34e351a/1642564920233_0.jpg
103522,9788958324287,청소년심리학,"F PHILIP RICE, KIM GALE DOLGIN",시그마프레스,30000,10000,https://cf-cii.everytime.kr/40437f5ad3c3bcd7b8d7da6f5b7a16ff46131a0889ac37959c875a4faf28a403/1630125761909_0.jpg
103642,9788998308193,전자기학,"파와즈 T. 울라바이, Umberto Ravaioli",성진미디어,35000,20000,https://cf-cii.everytime.kr/cc4c1e2eb20d6adadb78fb9c9698985475853853495e5d5be43073b43583687b/1645865379032_0.jpg
103642,9788964211496,전자기학,이연호,한티미디어,25000,5000,https://cf-cii.everytime.kr/4415a7f078ee8b8ccbdb376b245714802e3d8597c8e14798f33af10669007221/1677045984188_0.jpg
103642,9788998308001,Cheng의 전자기학,David K Cheng,성진미디어,32000,10000,https://cf-cii.everytime.kr/016f38f7cf2a4ce13e78e3d9bed20edeb6d7d0c2a25298fd3d96d26cbb21f24f/1561097113272_0.jpg
103642,9780199321407,Elements of Electromagnetics,Sadiku Matthew N. O.,Oxford (USA),46000,20000,https://cf-cii.everytime.kr/526ec28672e933da507942c76871a4ce316fc5cb9306bd71ebf495618ba791ab/1677826580386_0.jpg
103676,9788994464251,컴퓨터시스템(2판),"Bryant, David R O'Hallaron",교보문고,35000,19000,https://cf-cii.everytime.kr/47629c18717c9390ea6c11eeb5c2db17b7f9563183455e7ad1207b63c29aacf9/1549448983900_0.jpg
103676,9781292101767,Computer Systems,Bryant Randal E.,Pearson,66000,30000,https://cf-cii.everytime.kr/c33e59e52d65a16e9e25997e4423b6e574bdc75c35d2eb3bc3ef9cac79d1cddd/1747579150938_0.jpg
103684,9791156003014,컴퓨터 그래픽스,"Edward Angel, Dave Shreiner",도서출판 홍릉(홍릉과학출판사),42000,13000,https://cf-cii.everytime.kr/78ff931365c14188b2facb74c3623bf6d94e9e469427e4cf5721c83b9d018dc0/1645690747569_0.jpg
103689,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,9000,https://cf-cii.everytime.kr/28f6c3d044998d041e445edfc001d20423e9efe20bc7c6cad9e660ad7eb897c7/1778505543192_0.jpg
103689,9788979869064,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,7000,https://cf-cii.everytime.kr/5bb5ca02c4edf3951c82b914cf7a612a206a2637ae1f5c22352c785be10f4fd1/1552830122329_0.jpg
103689,9788979869835,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,5000,https://cf-cii.everytime.kr/15221d853655f575e9bfe7c2000a9bcbbc58f6cdaf634eeda9f223c4e014fd551498133855278/0.jpg
103691,9788991958890,크로포트킨 자서전,표트르 크로포트킨,우물이있는집,20000,12000,https://cf-cii.everytime.kr/3735e04193c42580d9c496bae6402b9d12b70c5791320f92644847f340328264/1614224588079_0.jpg
103691,9791159312236,자유론(리커버),존 스튜어트 밀,책세상,9900,4000,https://cf-cii.everytime.kr/c7cfa587b408c0837e877030e7414099aa33932b2c5432a5864a32db7097ea6d/1663355234939_0.jpg
103691,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,4000,https://cf-cii.everytime.kr/e2d27c670283f177ba6667c3fe7c3d76d08e92b31130a29c9f9eeac61dc61126/1738992173519_0.jpg
103691,9788979869835,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,3000,https://cf-cii.everytime.kr/a8f5f025554d2978031cfaf3469f7660844bced4d40d2494b2498764e9dba899/1613876721039_0.jpg
103692,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,9000,https://cf-cii.everytime.kr/28f6c3d044998d041e445edfc001d20423e9efe20bc7c6cad9e660ad7eb897c7/1778505543192_0.jpg
103693,9791155501641,글쓰기의 절차와 과정,"김경훤, 오광근, 유하라, 김희경, 현원숙, 홍은실",성균관대학교출판부,15000,2000,https://cf-cii.everytime.kr/da4a96568936730e1765a9226812f11cee32147f53a7f25b78de8f077429cd4d/1576566409939_0.jpg
103693,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,9000,https://cf-cii.everytime.kr/28f6c3d044998d041e445edfc001d20423e9efe20bc7c6cad9e660ad7eb897c7/1778505543192_0.jpg
103693,9788979869064,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,7000,https://cf-cii.everytime.kr/5bb5ca02c4edf3951c82b914cf7a612a206a2637ae1f5c22352c785be10f4fd1/1552830122329_0.jpg
103693,9788979869835,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,5000,https://cf-cii.everytime.kr/15221d853655f575e9bfe7c2000a9bcbbc58f6cdaf634eeda9f223c4e014fd551498133855278/0.jpg
103694,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,9000,https://cf-cii.everytime.kr/28f6c3d044998d041e445edfc001d20423e9efe20bc7c6cad9e660ad7eb897c7/1778505543192_0.jpg
103694,9788979869835,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,5000,https://cf-cii.everytime.kr/15221d853655f575e9bfe7c2000a9bcbbc58f6cdaf634eeda9f223c4e014fd551498133855278/0.jpg
103732,9788984990692,커뮤니케이션 연구 어떻게 할 것인가,아서 아사 버거,커뮤니케이션북스,15000,5000,https://cf-cii.everytime.kr/730d0d304ac5b105d0a9144373fcb1b405be2e3466cba5b4939b0a6ca42e844c/1582449526209_0.jpg
103771,9791155502747,과학기술글쓰기,"노상도, 박상태, 한기호, 한영신",성균관대학교출판부,18000,8000,https://cf-cii.everytime.kr/80ee99c30c1b8dba626d17c6f9686ff1640891221fbd48d991f3398525f9b03c/1725493198647_0.jpg
103771,9788956441139,논리적 추론과 증명(개정판 2판),이병덕,이제이북스,20000,3000,https://cf-cii.everytime.kr/fbb58d224adc7da12a8ccc502b0d6b11307d95f6c5db6874de8926b06304d512/1583238707607_0.jpg
103771,9791155501313,과학기술 글쓰기: 이론과 실제,"노상도, 박상태, 한기호, 한영신",성균관대학교출판부,18000,4000,https://cf-cii.everytime.kr/f126569761084992e91fbf55c6495c8e78523e99d968d95c4eb80ff5af5e7095/1677335732372_0.jpg
103774,9791155502747,과학기술글쓰기,"노상도, 박상태, 한기호, 한영신",성균관대학교출판부,18000,8000,https://cf-cii.everytime.kr/80ee99c30c1b8dba626d17c6f9686ff1640891221fbd48d991f3398525f9b03c/1725493198647_0.jpg
103774,9788958327127,과학기술 커뮤니케이션,"노상도, 강무진, 권영돈, 손미애, 신동렬, 한신일",시그마프레스,20000,6000,https://cf-cii.everytime.kr/9dac5ced9f37aaf9f1abcd0ded4b07372e29626bb054669ebb71490b165b2922/1552397464108_0.jpg
103774,9791155501313,과학기술 글쓰기: 이론과 실제,"노상도, 박상태, 한기호, 한영신",성균관대학교출판부,18000,4000,https://cf-cii.everytime.kr/f126569761084992e91fbf55c6495c8e78523e99d968d95c4eb80ff5af5e7095/1677335732372_0.jpg
103778,9791155501740,창의적 사고 소통의 글쓰기,"김경훤, 김미란, 김성수",성균관대학교출판부,20000,9000,https://cf-cii.everytime.kr/28f6c3d044998d041e445edfc001d20423e9efe20bc7c6cad9e660ad7eb897c7/1778505543192_0.jpg
103778,9788972915546,과학혁명의 구조,토머스 쿤,까치,20000,9000,https://cf-cii.everytime.kr/1f7bf441ba61b5086e6914ff2f532449a407ebe115fc0ad13034cb79699d6b0b/1585028752030_0.jpg
