lecture_id,exam_nth,exam_response_count,question_type,question_type_count,question_type_ratio
103298,중간,4,객관식,3,0.75
103298,중간,4,주관식,4,1.0
103298,중간,4,T/F형,0,0.0
103298,중간,4,약술형,1,0.25
103298,중간,4,논술형,1,0.25
103298,중간,4,구술,0,0.0
103298,중간,4,기타,0,0.0
103298,기말,1,객관식,1,1.0
103298,기말,1,주관식,1,1.0
103298,기말,1,T/F형,0,0.0
103298,기말,1,약술형,0,0.0
103298,기말,1,논술형,0,0.0
103298,기말,1,구술,0,0.0
103298,기말,1,기타,0,0.0
103300,중간,8,객관식,0,0.0
103300,중간,8,주관식,2,0.25
103300,중간,8,T/F형,0,0.0
103300,중간,8,약술형,0,0.0
103300,중간,8,논술형,5,0.625
103300,중간,8,구술,0,0.0
103300,중간,8,기타,1,0.125
103300,기말,3,객관식,1,0.333333
103300,기말,3,주관식,2,0.666667
103300,기말,3,T/F형,0,0.0
103300,기말,3,약술형,0,0.0
103300,기말,3,논술형,1,0.333333
103300,기말,3,구술,0,0.0
103300,기말,3,기타,0,0.0
103304,중간,5,객관식,1,0.2
103304,중간,5,주관식,3,0.6
103304,중간,5,T/F형,4,0.8
103304,중간,5,약술형,4,0.8
103304,중간,5,논술형,1,0.2
103304,중간,5,구술,1,0.2
103304,중간,5,기타,0,0.0
103304,기말,1,객관식,0,0.0
103304,기말,1,주관식,1,1.0
103304,기말,1,T/F형,1,1.0
103304,기말,1,약술형,1,1.0
103304,기말,1,논술형,0,0.0
103304,기말,1,구술,0,0.0
103304,기말,1,기타,0,0.0
103316,중간,6,객관식,1,0.166667
103316,중간,6,주관식,4,0.666667
103316,중간,6,T/F형,0,0.0
103316,중간,6,약술형,0,0.0
103316,중간,6,논술형,2,0.333333
103316,중간,6,구술,0,0.0
103316,중간,6,기타,0,0.0
103316,기말,3,객관식,0,0.0
103316,기말,3,주관식,2,0.666667
103316,기말,3,T/F형,0,0.0
103316,기말,3,약술형,1,0.333333
103316,기말,3,논술형,1,0.333333
103316,기말,3,구술,0,0.0
103316,기말,3,기타,0,0.0
103317,중간,2,객관식,1,0.5
103317,중간,2,주관식,0,0.0
103317,중간,2,T/F형,0,0.0
103317,중간,2,약술형,0,0.0
103317,중간,2,논술형,1,0.5
103317,중간,2,구술,0,0.0
103317,중간,2,기타,0,0.0
103317,기말,2,객관식,0,0.0
103317,기말,2,주관식,1,0.5
103317,기말,2,T/F형,0,0.0
103317,기말,2,약술형,0,0.0
103317,기말,2,논술형,1,0.5
103317,기말,2,구술,0,0.0
103317,기말,2,기타,0,0.0
103381,중간,5,객관식,3,0.6
103381,중간,5,주관식,5,1.0
103381,중간,5,T/F형,1,0.2
103381,중간,5,약술형,0,0.0
103381,중간,5,논술형,0,0.0
103381,중간,5,구술,0,0.0
103381,중간,5,기타,0,0.0
103381,기말,1,객관식,1,1.0
103381,기말,1,주관식,1,1.0
103381,기말,1,T/F형,1,1.0
103381,기말,1,약술형,1,1.0
103381,기말,1,논술형,1,1.0
