lecture_id,article_id,year,semester,rate,posvote,text,text_length,text_hash,source,source_file
103298,2131858,2020,1,3,0,"온라인 수업이어서 그런지 강의력이 좋은지는 잘 모르겠습니다 시험은 대부분 교수님께서 설명하신 부분에서 나오기 때문에 책이 꼭 필요하지는 않지만, 그래프나 실증 분석 내용에 대해서 더 많은 정보를 얻고자 한다면 있어도 나쁘진 않습니다. 중간고사보다는 기말고사에 변별력이 있었습니다 중간고사에서는 수업 내용과 관련된 부분들을 서술하거나 이를 약간 응용하는 것에 불과했다면, 기말고사에서는 수학적 내용이 많이 포함되었습니다 그래도 과제 없고, 내용도 어렵지 않아서 부담 없이 들었습니다",268,e2be30437faf2de5,articles,lecture_103298_articles.json
103298,2120854,2020,1,4,0,"수업 내용이 그리 어렵지는 않고 교수님도 설명을 비교적 쉽게 해주십니다. 책을 사지 않아도 올려주시는 피피티로 커버 가능합니다. 시험전에 review question을 올려주시는데, 답은 따로 알려주시진 않았습니다. 같이 듣는 분들과 답 공유하며 공부하면 돼요. 중간고사는 오픈북에 복습문제에서 다 나왔고 변별력이 없었습니다. 최대한 자세히 써야 높은 점수를 받을 수 있습니다. 기말고사 역시 오픈북이었고 캠을 키고 시험을 봤습니다. 5문제였는데 2문제가 계량 경제학적 지식이 필요한 것들이 라 당황했네요. 나머지 3문제는 배운 내용으로 충분히 커버 가능했습니다. 저는 계량이나 통계 지식이 아예 없었고, 관련 과목을 들은 적도 없었습니다. 계량 문제들은 그냥 피피티에서 언급하신 내용을 맞는지도 모른채 최대한 썼는데 학점은 A+ 이 나왔네요. 아마 나머지 문제들을 확실하게 풀어서 생각보다 성적이 잘 나온게 아닌가 싶네요. 앞으로 어떻게 수업이 진행될 지 모르겠지만 계량 과목은 한 번 듣고 이 수업을 들으시는게 안전하지 않을까 생각합니다",526,0f13f557c824ed55,articles,lecture_103298_articles.json
103298,2099000,2020,1,4,0,"코로나 학기에 수강했고 학점은 에이쁠 받았습니다. 실제 강의로 들으면 참 재미있었을 수업 같은데 아캠으로 전달이 잘 안 된 것 같아 아쉬웠어요. 중간고사는 엄청 쉽게 나왔고 기말고사는 난이도가 꽤 있는 편이었습니다. 계량 안 듣고 들어도 된다고 하셨는데, 계량 듣고 수강하는 게 유리하긴 할 것 같아요",168,a90e7528a3336aec,articles,lecture_103298_articles.json
103298,2089396,2020,1,1,1,2점은 줄 수도 있을 것 같은데 평점 좀 떨구려고 1점 줍니다. 수업은 나쁘지 않다고 생각했는데 학점을 너무 안줍니다. 안그래도 중간고사 때 애매한 걸로 감점 받아서 빡치는데 비제로 씨플까지 주네요. 중간은 오픈북으로 변별력 0인데 이거 바로잡으려고 기말에서는 안가르쳐준거 내버리기~ 계량 안들은 사람 걸러버리기~ 학생들의 고통에 전혀 공감하지 못하는 교수님이라고 생각됩니다.,210,928f52be1cec5d61,articles,lecture_103298_articles.json
103298,2088582,2020,1,3,0,코로나학기에도 쁠은 철저히 반만 달아주시는듯ㅠ 게다가 기말고사에는 계량 선이수한 사람만 풀 수 있는 문제도 내서 멘탈 삭삭 갈림. 계량 들었으면 추천 안 들었으면 비추,93,6bb5cc7044ac25e9,articles,lecture_103298_articles.json
103298,2088013,2020,1,1,1,코로나학기에 비제로 씨쁠 퍼주는거 그렇다쳐 왜 계량경제학 응용해서 내서 하나도못풀게함 아..진짜 배경지식 없어서 이것만 학점망함. 이걸 어떻게 잘 봄? 반대로 베이스있는 사람들은 학점 거저먹기. 개억울하다,114,0ca111668878d284,articles,lecture_103298_articles.json
103298,2087851,2020,1,3,0,뒷통수 제일 쎄게 맞은 과목임 선이수과목이 미시경제학 뿐임에도 계량경제학적 소양 요구함 시험도 계량관련 문제도 나와서 관련 지식없는 사람들은 당혹스러웠을 듯 밑 강평과는 완전 딴판인 학기었음,106,875be51260ade45e,articles,lecture_103298_articles.json
103298,2085988,2020,1,2,0,강의력 좋다고 소문난 것 같은데 왜 소문난지 모르겠습니다 말하다가 딴길로 새고 뭔 소린지도 모르겠고 강의력 진짜 별롭니다 아캠이라 더 극명하게 느껴졌네요 그리고 하시는 말 자체도 너무 기득권층을 대변합니다 전 그냥 중립인데 제가 들어도 좀 의아할 정도였습니다 그리고 뭐 강의 노트 이상으로 안 가르치시는 것 같아요 노트가 다임 ㅇㅇ RQ는 왜 준 건지도 모르겠습니다 이번 중간고사 분량제한 있었는데 글씨 작게 쓴 사람이 이득이었고요 그럴거면 분량제한을 왜둔건지도 의문;; 기말은 갑자기 계량을 내버려서 뭐.. 얼탱이었습니다 여러모로 추천하지 않는 수업,308,e6a3247c5fb67193,articles,lecture_103298_articles.json
103298,1981794,2020,1,3,4,기말고사 치기 전까지는 5점이었다 근데 기말고사 통수를 오지게 맞았다 천사같은 교수님은 이 세상에 업따 믿지 마라,63,188ec2692cd06128,articles,lecture_103298_articles.json
103298,1296663,2019,1,4,0,"노동경제학이 계량경제학을 많이 쓴다곤 들었는데 이 강의는 전혀 아닙니다. 교과서의 이론 내용 다뤘다가, 노동시장 관련된 기타 지식과 사례 강의했다가 다방면으로 강의하십니다. 이론 이외의 것을 다룰때는 거의 교양강의 같은 느낌도 들어서 루즈하고 지루할 수 있습니다. 시험은 시험 1주일전에 예상문제를 올려주고 거기서 몇개 골라 냅니다. 그런데 시험문제가 예상치 못한 지엽적 내용을 물어보기도 합니다. 교수님이 그냥 지나치듯 언급한 내용이 예상문제에 나와서 어떻게든 기억을 하든지 기록을 안해놓으면 골치아픕니다. 교수님이 판서도 어지럽게 하시고 말을 일일이 다 받아적는건 무리이니 그냥 녹음하는걸 추천합니다.",338,bc4b4b2462d32a23,articles,lecture_103298_articles.json
