rank,lecture_id,recommendation_score,preference_similarity,predicted_quality_norm,predicted_quality_5pt,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf,top_tfidf_terms,sample_review
1,44167,0.9418938652726463,0.9460963164409186,0.9320881458800109,4.6604407294000545,20,112,4.56,0.912,0.517857,0.482143,0.955357,0.044643,0.696429,0.303571,0.375,0.205357,0.457589,0.339286,0.0,0.061321,0.042938,0.0,0.079047,0.034431,0.0,0.102916,0.102916,0.0,0.096731,0.096731,0.0,0.0,1.0,0.0,0.246394,0.246394,0.0,0.0,0.0,"화학, 출석이, 들어도, 과제는, 잘해주십니다, 정말정말, 굉장히, 강의력, 오프라인으로, 맞춰서, 최고, 시험도, 좋았음, 어떤, 이해, 오프라인, 있는, 설명, 해주시고, 좋은",교수님 강의력 좋으심. 중간고사 난이도 중 정도지만 계산문제 많아 시간모자람 시간안에 다풀수만 있다면 상위권일듯 기말고사 계산문제 거의 없어서 시간 크게 부족하지 않음 루이스구조 그리는 연습만 잘돼있으면 무난할듯
2,2748975,0.9358279560808426,0.9404526262165014,0.9250370590976387,4.625185295488193,7,47,4.43,0.886,0.436171,0.563829,0.957447,0.042553,0.659574,0.340425,0.308511,0.244681,0.382979,0.425532,0.0,0.304048,0.2129,0.0,0.290873,0.126697,0.0,0.034794,0.034794,0.0,0.185252,0.185252,0.0,0.0,1.0,0.0,0.376671,0.376671,0.0,0.0,0.0,"합의하신, 칠판, 복습이, 절대평가, 설명, 배점이, 봤고, 학생들, 복습, 기준, 친절하게, 복수전공자인, 조정해주십니다, 싶어져요, 일주일씩, 예제에서만, 출제하셨어요, 240, 답지에, 김희주","복수전공자인 제게는 교수님의 꼼꼼한 복습이 많은 도움이 됐습니다. 과제는 풀이과정 적어서 스캔해서 내는 거라 어렵지 않습니다. 퀴즈는 2번 봤고, 문제가 나름 어려운 대신 배점이 작습니다. 시험이 쉽지많은 않았지만,"
3,353911,0.905960855265576,0.9141106148640172,0.8869447495358802,4.434723747679401,20,254,4.5,0.9,0.651575,0.348425,0.535434,0.464568,0.576772,0.423228,0.23622,0.496063,0.393898,0.402756,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.126442,0.126442,0.0,0.064838,0.064838,0.05,0.0,0.95,0.0,0.216068,0.216068,0.0,0.068727,0.015127,"강의력, 강의를, 강의력도, 늦게, 좋고, 풀어보고, 공지도, 교안, 올려주시는, 시험, 없고, 한국어로, 온라인으로, 중요한, 없이, 올라오는거, 5주치, 올려주며, 변별함, 2주분",과제 없습니다. 원래 국제어 였는데 이번 학기는 한국어로 바뀐거 같습니다. 강의 내용 이해 잘 되는 강의라고 생각됩니다. 다만 내용이해 되는 거와 별개로 문제는 연습해가야 되니 꼭 연습하고 가시길 바랍니다.
4,991606,0.902304863782184,0.9069285963506768,0.8915161544557009,4.457580772278504,20,190,4.54,0.908,0.473685,0.526316,0.905263,0.094737,0.799999,0.199999,0.099999,0.836843,0.39579,0.406316,0.0,0.091982,0.064408,0.0,0.0,0.0,0.0,0.290285,0.318383,0.0,0.170147,0.170147,0.05,0.1,0.85,0.125,0.311087,0.346405,0.0,0.0,0.0,"기말, 피피티, ppt, 교안, 중간, 교안이, 좋은, 퀄이, 문제, 아쉬웠어요, 공부하기에, 상위, 깔끔한, 끝날, 시험은, 잘주심, 시험문제는, 기출, 좋아서, 좋다",교안이 짱짱함. 학점도 비율 맞춰주는 것 같아서 독학하기 좋은 듯!!
5,488935,0.9015215272391897,0.8971561325434265,0.9117074481959703,4.5585372409798515,20,211,4.68,0.936,0.149289,0.850711,0.976303,0.023696,0.64218,0.35782,0.616114,0.066351,0.416351,0.380805,0.0,0.091982,0.064408,0.0,0.0,0.0,0.0,0.056901,0.056901,0.0,0.038344,0.038344,0.0,0.0,1.0,0.0,0.260375,0.260375,0.0,0.0,0.0,"강의력, goat, 과제가, xv6는, 강의력이, 재밌게, 한데, 어렵긴, 관심, 좋으셔서, 재밌고, 시험공부하지, 맞지않더라도, 토크쇼, 증원이나, 되었으면, 최상, 시스템쪽, 수업들으묜, 어렵다만","재밌고, 쉽게 설명해주시고, 그냥 강의력 goat 이다. 만약 이 수업을 듣는데 강의력이 별로라고 생각하는 사람이 있다면 그건 강의력의 문제가 아닌 당신의 이해력의 문제일 뿐이다.."
6,77947,0.8984139067396504,0.8845569380094237,0.9307468337768463,4.653734168884231,20,107,4.58,0.916,0.247664,0.752337,0.939252,0.060748,0.738317,0.261683,0.32243,0.369159,0.4,0.4,0.0,0.183964,0.128815,0.0,0.079047,0.034431,0.0,0.09414,0.09414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.188902,0.188902,0.0,0.0,0.0,"매트랩, 강의력, 매우, 과제가, 있으면, 영어, 신시, 한국어로, 좋으시고, 과제, 시험, 도움이, 어려웠는데, 되면, 정도만, 금방, 오래, 교수님이, 하지만, 좋으셔서","개념 위주의 수업이고 교수님이 영어, 설명 모두 잘하셔서 이해도 쉽습니다."
7,993442,0.8960485426511589,0.8704901041753828,0.9556848990946365,4.778424495473183,20,115,4.85,0.97,0.627193,0.372807,0.942983,0.057018,0.767544,0.232456,0.31579,0.359649,0.405263,0.396491,0.0,0.064595,0.045231,0.0,0.0,0.0,0.0,0.081962,0.081962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.181041,0.181041,0.0,0.0,0.0,"교안에, 공식이, 황금철, 기반한, 필요없는, 의미를, 아니라, 좋으십니다, 공식, 단순, 내용으로, 중요하게, 가르쳐, 좋습니다, 강의력, 달달, 개념을, 과목을, 시험, 시험도",교수님이 강의력이 정말 좋으십니다 학생들이 이해하기 쉽도록 잘 풀어서 설명해주십니다. 공식을 달달 외우기보단 개념을 이해하는걸 중요하게 생각하십니다.
8,78169,0.8933542500362632,0.8852763306658276,0.9122027285672801,4.561013642836401,20,136,4.64,0.928,0.481618,0.518382,0.955882,0.044117,0.731618,0.268383,0.400735,0.172794,0.415809,0.386397,0.0,0.106687,0.074704,0.0,0.101806,0.044344,0.0,0.106137,0.106137,0.0,0.109107,0.109107,0.0,0.05,0.95,0.0,0.153875,0.153875,0.0,0.0,0.0,"출튀, 화학을, 잡으심, 다시, 어려운, 한번도, 교수님이, 부분은, 한국어로, 받음, 절대, 이해하기, 하시고, 열심히, 충분히, 화학적, 지식에, 벽을느끼는, 개그도, 화학과에",교수님의 화학적 지식에 벽을느끼는 강의. 강의 중간중간 개그도 하시고 화학과에 가거나 화학에 관심이 많다면 무조건 들어야 함
9,226710,0.8927775162857823,0.8683266250639481,0.9498295958033958,4.749147979016978,20,83,4.86,0.972,0.76506,0.23494,0.981928,0.018072,0.771084,0.228915,0.277108,0.445783,0.416868,0.380723,0.0,0.125917,0.088169,0.0,0.237141,0.103293,0.0,0.108093,0.108093,0.0,0.12915,0.12915,0.0,0.0,1.0,0.0,0.195541,0.195541,0.0,0.0,0.0,"중간은, 족보를, 타며, 강의력, 영어로, 최고십니다, 같아요, 족보, 기말은, 정도, 강의력이, 시험은, 좋으시고, 엄청, 들으시면, 족보랑, 설명, 이해하기, 좋은, 제일",시험이나 수업과 관련된 생각은 다수의 리뷰랑 같은 생각을 가지고 있으니 따로 적지 않겠다. 수업을 떠나서 교수님이 대단하다고 느낀점이 있는데 15주동안 말을 하시거나 글을 적으실때 잘못 말하시거나 오기하신 적을 단 
10,1937322,0.8775967187775269,0.8603766084120976,0.917776976296862,4.58888488148431,20,151,4.83,0.966,0.443709,0.556291,0.874172,0.125828,0.635761,0.364239,0.360927,0.304636,0.394702,0.407947,0.0,0.177556,0.124328,0.0,0.0,0.0,0.0,0.058822,0.058822,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.163993,0.163993,0.0,0.0,0.0,"강의력, 잘해주십니다, 족보랑, 강의력이, 들었던, 명강의, 과제는, 첫번째, 구해서, 설명을, 같다, 꼼꼼히, 과제를, 시험은, 소홀이하면, 잘봐도, 메모오리, 매니지먼트, 메모리라, 강사님인","""이번 시간에는.. 메모오리 매니지먼트... 대략...메모리라 하면... 엄영익..."" 명강입니다. 처음 강의 듣고 교수님이 아니라 강사님인 줄 알았어요. 강의력이 되게 좋으십니다. 과제 3번 나왔는데 어렵지는 않았"
