rank,lecture_id,recommendation_score,preference_similarity,predicted_quality_norm,predicted_quality_5pt,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf,top_tfidf_terms,sample_review
1,2748951,0.8588813764646601,0.8152596409331456,0.9606654260381943,4.803327130190971,8,48,4.83,0.966,0.78125,0.21875,0.927083,0.072916,0.9375,0.0625,0.479166,0.020834,0.9875,0.008333,0.0,0.076652,0.053673,0.0,0.0,0.0,0.0,0.241175,0.241175,0.0,0.079731,0.079731,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"힐링되는, 2학점, 인생, 모두, 없고, 중간, 없어요, 기말, 배우는, 대체과제외에, pf에, pf인데, 마음건강을, 다입니다, f이기도, 명상, 째거나, 남으신다면, 줄어들더라구요, 도망가서",힐링수업이에요. 매주마다 실천과제하고 느낀점 써서 제출합니다. 시험은 없고 중간 기말 모두 대체 과제입니다. 1학년분들 꼭 들으셨으면!
2,1772126,0.8387478631327292,0.785269852085325,0.9635298889100062,4.817649444550031,20,374,4.78,0.956,0.803477,0.196525,0.895721,0.104277,0.95722,0.04278,0.378342,0.359625,0.681418,0.196124,0.0,0.15188,0.106349,0.0,0.0,0.0,0.0,0.238727,0.238727,0.0,0.159989,0.159989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"리트, 1학점, 대체과제, 꿀강입니당, 중간, 기말, 대체, 학점, 번만, 편해요, 됩니다, 되는데, 없고, 좋은, 무난하게, 편하게, 없이, 준비하기에, 산출됩니다, 아리까리하다",리트 준비하기에 좋아요 1학점이라 부담도 적고요
3,2086919,0.8261244108637875,0.7658795558320111,0.9666957392712663,4.833478696356331,20,115,4.8,0.96,0.765217,0.234783,0.895652,0.104348,0.926087,0.073913,0.660869,0.152174,0.813913,0.118261,0.0,0.15188,0.106349,0.0,0.158094,0.068862,0.0,0.2146,0.2146,0.0,0.096731,0.096731,0.0,0.0,1.0,0.0,0.079356,0.079356,0.0,0.25,0.055024,"대체, 갓조일, 중간, 발표, 대체과제, 분량이, 아방가르드, 안잡으심, 제출이고, 기말, 시험은, 10페이지, 중간기말, 매년, 예술에, 뭐라, 같아요, 작성하면, 자료, 고명북",그저 갓조일... 중간기말 대체과제인데 시험정보에서 문제 확인하시고 시험기간 되기 전에 미리 써 놓으면 편해요 개념설명 2/3 + 내 생각이나 의견 1/3 분량으로 잘 쓰시면 점수 잘 나올 거예요 분량이 많긴 하지만
4,2249342,0.8220121916459375,0.7611787015578761,0.9639570018514144,4.819785009257072,9,49,4.84,0.968,0.744898,0.255102,0.969388,0.030612,0.938775,0.061225,0.316326,0.244899,0.935714,0.032653,0.0,0.068135,0.047709,0.0,0.0,0.0,0.0,0.0895,0.0895,0.0,0.070872,0.070872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"월요일, 창업한, 창업에, 누구나, 2학점, 이야기를, 아침, 부담없이, 좋고, 않은거라, 채우기도, 사람들한테도, 9시라는게, 갓벽한, 스타트업, ceo가, 구라안치고, 꿀강이자, 교훈과, 인생경험",월요일 아침 1교시...인게 좀 힘들지만 2학점 무난하게 따기 좋습니다 중간 기말 대체 과제 있었고 과제도 한번 있었어요 근데 다 어렵지 않은거라 부담 없었습니다!
5,1772127,0.8133404868291163,0.7455651702249606,0.9714828922388132,4.857414461194066,20,163,4.67,0.934,0.708589,0.291411,0.947852,0.052147,0.96319,0.03681,0.303681,0.457056,0.869632,0.079755,0.0,0.121219,0.08488,0.0,0.0,0.0,0.0,0.08055,0.08055,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1학점, 남는다면, 꿀교양, 둘다, 편한, 과제도, 꿀강, 많아요, 없어요, 좋은, 없이, 다른수업, 죄송스러운, 가져가게, 출석하기가, 차마시고, 오면됨, 1핫점, 50분은, 보고서였어요",과제 2번 있었고 가서 강의와 교수님이 해주시는 좋은 얘기 듣고오면 됩니다~
6,2748934,0.8098101045642306,0.7395632287611733,0.9737194814380312,4.8685974071901565,20,94,4.96,0.992,0.723405,0.276595,0.989362,0.010639,0.978723,0.021277,0.287234,0.441489,0.947873,0.032979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.052453,0.052453,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055398,0.012193,"갓병섭, 10시에, 보내면, 잡으세요, 들어본, 잡을, 9시, 교양, 있으면, 주시고, 높은데는, 아프면, 잡느라, 빠질뻔, 듣고있어요, 수강신청이었습니다, 학문이란, 자고로, 어쩌고, 저쩌고",이 수업에서 가장 어려웠던 건 수강신청이었습니다
7,1325151,0.8063411238957336,0.7519778894937267,0.9331886708337499,4.66594335416875,20,229,4.82,0.964,0.661572,0.338428,0.973799,0.026201,0.866812,0.133188,0.268559,0.423581,0.648472,0.117904,0.0,0.28859,0.202076,0.0,0.2599,0.113206,0.0,0.400958,0.400958,0.0,0.157253,0.157253,0.0,0.05,0.95,0.0,0.052075,0.052075,0.0,0.0,0.0,"무조건, 송인욱교수님, 파생, 투자론은, 채권, 절대평가에, 투자론, 문제, 다만, 가끔, 위주로, 도움되는, 없이, 들으세요, 족보, 퀴즈, 학점도, 학생들, 많고, 좋으시고",교수님 친절하시고 학생 입장 많이 생각해 주심 다만 이제 내가 이쪽분야에 관심이 없어서 수업 내용은 쌩초보다만 그래도 교수님이 착하시니 5점. 점수도 한 성의가 보이면 잘 주신다고 본인이 말씀하셨음. 시험 한 번.
8,2249337,0.7989889727861166,0.7470556533907152,0.9201667180420531,4.600833590210265,20,75,4.69,0.938,0.826667,0.173334,0.986667,0.013333,0.766667,0.233333,0.406666,0.213334,0.722,0.032,0.0,0.112287,0.078626,0.0,0.0,0.0,0.0,0.25234,0.25234,0.0,0.178096,0.178096,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0,0.0,"독후감, 수학을, 오픈북, 시험입니다, 조선, 교양, 좋은, 아직, 흥미있게, 들었습니다, 중간은, 수학, 강의를, 기말은, 채우기, 들을, 오프라인으로, 내용, 기말도, 책을",너무 즐겁게 들었습니다 시험은 오픈북이구 재밌습니당
9,120875,0.7980603061869307,0.7218272774627521,0.975937373210014,4.879686866050069,20,95,4.87,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0.0,0.05,0.95,0.0,0.053113,0.053113,0.0,0.0,0.0,"연극, 꿀강, 아캠, 보면, 들으세요, 1학점, 보고, 남으면, 면담, 연극이, 꿀강입니다, 교수님이랑, 한번, 짧게, 감상문, 출석만, 번만, 영화, 한번만, 없고",매우 꿀강... 온라인 강의에 과제 없음...
10,2376792,0.7969872405216003,0.718223993749465,0.9807681496565827,4.903840748282914,20,168,4.9,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714,0.0,0.37501,0.262589,0.0,0.0,0.0,0.0,0.067786,0.067786,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"박람회, 꿀강입니다, 다녀오면, 전시회, 하나만, 제출하면, 들으면, 됩니다, 영상만, 할것도, 강의도, 레포트, 한번, 좋습니다, 대체과제, 없고, 보고서, 돼요, 주셔서, 되고","중간 기말 시험 없구 한 학기동안 온라인 강의 수강 후 마지막 기말 대체 과제 레포트 하나만 제출하면 되는데 그 마저도 AI 전시회 참관 보고서 (참가 인증, 사진만 첨부) 제출하면 기말 레포트 면제라 정말정말 편하"
