rank,lecture_id,recommendation_score,preference_similarity,predicted_quality_norm,predicted_quality_5pt,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf,top_tfidf_terms,sample_review
1,120875,0.8679668155721265,0.8216937194416034,0.975937373210014,4.879686866050069,20,95,4.87,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0.0,0.05,0.95,0.0,0.053113,0.053113,0.0,0.0,0.0,"연극, 꿀강, 아캠, 보면, 들으세요, 1학점, 보고, 남으면, 면담, 연극이, 꿀강입니다, 교수님이랑, 한번, 짧게, 감상문, 출석만, 번만, 영화, 한번만, 없고",매우 꿀강... 온라인 강의에 과제 없음...
2,2768543,0.8638287963870952,0.8171927110496673,0.9726463288410939,4.863231644205469,20,338,4.99,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184,0.0,0.177556,0.124328,0.0,0.079047,0.034431,0.0,0.012178,0.012178,0.0,0.095677,0.095677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1학점, 하나, 비교과프로그램, 채우기, 들으면, pf입니다, 군학점으로, 1학점짜리, 꿀과목, 낭낭하게, 하나만, 과제, 학점, 온라인으로, 쉬운, 강의입니다, 좋음, 듣기, 굳입니다, 삽가능입니다",굳입니다 날먹 1학점 삽가능입니다!!!!!!
3,2768545,0.862214743527143,0.8153368395109362,0.9715965195649587,4.857982597824794,20,345,4.99,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.028097,0.028097,0.0,0.096204,0.096204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"상담, 프로그램, 1학점, 진로, 비교과, 상담도, 수강하고, 신청만, 아무거나, 꿀인, 남으면, 하긴, 하라는, 귀찮긴, 개꿀, 되고, 않음, 듣기, 도움이, 상담이랑",편안하게 들으시면 되고 하라는 것만 잘 하시면 됩니다
4,2768544,0.8577366935181698,0.8068072560967825,0.9765720475014071,4.882860237507035,20,122,4.98,0.996,0.721311,0.278688,0.979509,0.020492,0.963115,0.036885,0.586065,0.045082,0.991803,0.0,0.0,0.261705,0.183251,0.0,0.0,0.0,0.0,0.053444,0.053444,0.0,0.063785,0.063785,0.0,0.0,1.0,0.0,0.035318,0.035318,0.0,0.0,0.0,"1학점, 편하게, 내면, 포트폴리오, 취업, 비교과, 프로그램, 쉽게, 귀찮긴, 마지막에, 꿀강입니다, 과제도, 온라인으로, 보고서, 돼요, 있는, 대체, 좋았어요, 기말, f라서",시험 없음. 과제 두 개. 덕분에 취업 준비할 수 있었어요.
5,2249342,0.8472021676981737,0.7971643816324991,0.9639570018514144,4.819785009257072,9,49,4.84,0.968,0.744898,0.255102,0.969388,0.030612,0.938775,0.061225,0.316326,0.244899,0.935714,0.032653,0.0,0.068135,0.047709,0.0,0.0,0.0,0.0,0.0895,0.0895,0.0,0.070872,0.070872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"월요일, 창업한, 창업에, 누구나, 2학점, 이야기를, 아침, 부담없이, 좋고, 않은거라, 채우기도, 사람들한테도, 9시라는게, 갓벽한, 스타트업, ceo가, 구라안치고, 꿀강이자, 교훈과, 인생경험",월요일 아침 1교시...인게 좀 힘들지만 2학점 무난하게 따기 좋습니다 중간 기말 대체 과제 있었고 과제도 한번 있었어요 근데 다 어렵지 않은거라 부담 없었습니다!
6,2376792,0.8459961824473284,0.7882367679290767,0.9807681496565827,4.903840748282914,20,168,4.9,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714,0.0,0.37501,0.262589,0.0,0.0,0.0,0.0,0.067786,0.067786,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"박람회, 꿀강입니다, 다녀오면, 전시회, 하나만, 제출하면, 들으면, 됩니다, 영상만, 할것도, 강의도, 레포트, 한번, 좋습니다, 대체과제, 없고, 보고서, 돼요, 주셔서, 되고","중간 기말 시험 없구 한 학기동안 온라인 강의 수강 후 마지막 기말 대체 과제 레포트 하나만 제출하면 되는데 그 마저도 AI 전시회 참관 보고서 (참가 인증, 사진만 첨부) 제출하면 기말 레포트 면제라 정말정말 편하"
7,2249333,0.8457342577008546,0.7897226983911547,0.9764278960901547,4.882139480450773,20,365,4.94,0.988,0.789042,0.210959,0.853425,0.146576,0.965754,0.034247,0.712328,0.117809,0.969726,0.019726,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"채우면, 70점만, 70점, 기한, 채우기, 점수, 확인하시고, 되는, 것도, 됩니다, 미리미리, 하시면, 자동으로, 엘씨분들과, 친하다면, 놀면됨, 혼자할, 직배일, 활동해서, 늦게제출했는데도",그냥 개꿀 과목.....점수만 채우면 그냥 패스입니다.
8,2892987,0.8449505432366599,0.7863846722966173,0.9816042420967593,4.908021210483796,20,62,4.48,0.896,0.991936,0.008065,0.991936,0.008065,0.862904,0.137097,0.540323,0.0,0.748387,0.006452,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.076812,0.076812,0.0,0.064838,0.064838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"시간도, 라틴어를, 라틴어, 인문학, 인생을, 강의실이, 불편한, 학교에서, 이야기도, 아니라, 인생에, 내용도, 와서, 그럼에도, 좋습니다, 분입니다, 대한, 유익하고, 관련된, 또한","&lt;라틴어 수업> 책을 저술하신 유명하신 교수님이신데, 이 책은 교수님께서 전에 계셨던 종 치는 학교의 수업을 토대로 저술하신 책이라는 사실을 알고 이 교수님을 뵐 기회가 없을까 싶어 슬퍼하던 차에 이 학교에 와"
9,2087310,0.8445041777206429,0.7960362160042934,0.9575960883921253,4.787980441960626,20,63,4.63,0.926,0.904762,0.095238,0.968254,0.031746,0.936508,0.063492,0.428571,0.18254,0.66746,0.107936,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.076222,0.089977,0.0,0.096204,0.096204,0.0,0.1,0.9,0.0,0.032677,0.032677,0.0,0.05,0.011005,"영화, 한국, 영화를, 영화에, 그래도, 쉬워서, 감독, 바라보는, 시험은, 어떻게, 기말고사, 대해, 좋아하면, 영어, 얻는, 흥미롭게, 전반적인, 시험이, 지식을, 대한",외국인 관점에서 바라보는 한국 영화의 현황에 대해 알 수 있었던 수업이었습니다. 영화를 보긴 하지만 오래 보는 것은 아니고 오히려 트레일러 영상을 많이 보게 됩니다. 시험은 아주 쉽게 나오는 편입니다. 하술된 강의평
10,2748934,0.8438550958945037,0.7881989306615634,0.9737194814380312,4.8685974071901565,20,94,4.96,0.992,0.723405,0.276595,0.989362,0.010639,0.978723,0.021277,0.287234,0.441489,0.947873,0.032979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.052453,0.052453,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055398,0.012193,"갓병섭, 10시에, 보내면, 잡으세요, 들어본, 잡을, 9시, 교양, 있으면, 주시고, 높은데는, 아프면, 잡느라, 빠질뻔, 듣고있어요, 수강신청이었습니다, 학문이란, 자고로, 어쩌고, 저쩌고",이 수업에서 가장 어려웠던 건 수강신청이었습니다
