rank,lecture_id,recommendation_score,preference_similarity,predicted_quality_norm,predicted_quality_5pt,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf,top_tfidf_terms,sample_review
1,120875,0.8751919464896583,0.8320153350380775,0.975937373210014,4.879686866050069,20,95,4.87,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0.0,0.05,0.95,0.0,0.053113,0.053113,0.0,0.0,0.0,"연극, 꿀강, 아캠, 보면, 들으세요, 1학점, 보고, 남으면, 면담, 연극이, 꿀강입니다, 교수님이랑, 한번, 짧게, 감상문, 출석만, 번만, 영화, 한번만, 없고",매우 꿀강... 온라인 강의에 과제 없음...
2,2768543,0.8719298755880694,0.8287656813367733,0.9726463288410939,4.863231644205469,20,338,4.99,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184,0.0,0.177556,0.124328,0.0,0.079047,0.034431,0.0,0.012178,0.012178,0.0,0.095677,0.095677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1학점, 하나, 비교과프로그램, 채우기, 들으면, pf입니다, 군학점으로, 1학점짜리, 꿀과목, 낭낭하게, 하나만, 과제, 학점, 온라인으로, 쉬운, 강의입니다, 좋음, 듣기, 굳입니다, 삽가능입니다",굳입니다 날먹 1학점 삽가능입니다!!!!!!
3,2768545,0.8707877798650101,0.8275840342793179,0.9715965195649587,4.857982597824794,20,345,4.99,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.028097,0.028097,0.0,0.096204,0.096204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"상담, 프로그램, 1학점, 진로, 비교과, 상담도, 수강하고, 신청만, 아무거나, 꿀인, 남으면, 하긴, 하라는, 귀찮긴, 개꿀, 되고, 않음, 듣기, 도움이, 상담이랑",편안하게 들으시면 되고 하라는 것만 잘 하시면 됩니다
4,2768544,0.8688103074927409,0.822626704631884,0.9765720475014071,4.882860237507035,20,122,4.98,0.996,0.721311,0.278688,0.979509,0.020492,0.963115,0.036885,0.586065,0.045082,0.991803,0.0,0.0,0.261705,0.183251,0.0,0.0,0.0,0.0,0.053444,0.053444,0.0,0.063785,0.063785,0.0,0.0,1.0,0.0,0.035318,0.035318,0.0,0.0,0.0,"1학점, 편하게, 내면, 포트폴리오, 취업, 비교과, 프로그램, 쉽게, 귀찮긴, 마지막에, 꿀강입니다, 과제도, 온라인으로, 보고서, 돼요, 있는, 대체, 좋았어요, 기말, f라서",시험 없음. 과제 두 개. 덕분에 취업 준비할 수 있었어요.
5,2249333,0.8607043069265012,0.8111084829992212,0.9764278960901547,4.882139480450773,20,365,4.94,0.988,0.789042,0.210959,0.853425,0.146576,0.965754,0.034247,0.712328,0.117809,0.969726,0.019726,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"채우면, 70점만, 70점, 기한, 채우기, 점수, 확인하시고, 되는, 것도, 됩니다, 미리미리, 하시면, 자동으로, 엘씨분들과, 친하다면, 놀면됨, 혼자할, 직배일, 활동해서, 늦게제출했는데도",그냥 개꿀 과목.....점수만 채우면 그냥 패스입니다.
6,991009,0.8581395378978338,0.809984502261606,0.9705012877156988,4.8525064385784935,20,235,4.89,0.978,0.704255,0.295745,0.797872,0.202128,0.965957,0.034042,0.72766,0.182979,0.96766,0.022979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.028684,0.028684,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"어깨동무, 채울, 엘씨원들이랑, 1학점, 먹을, 됩니다, 영상만, pass, 날먹, 패스, 열심히, 신경, 영상, 같이, 하고싶어서, 하는걸로, 3일만에, 채움, 딸깍이고, 3월초에",굿굿 혼자 하고싶어서 다 혼자 하는걸로 했었는데 70점 진짜 3일만에 다 채움. 과제 지피티 딸깍이고 면담도 가서 10분?정도 한 듯ㅎㅎ 3월초에 다 끝내놔서 남들 신경쓸 때 신경 안 쓸 수 있었다 짜피 직배라 들어
7,2249342,0.8529847087996687,0.8054251546346349,0.9639570018514144,4.819785009257072,9,49,4.84,0.968,0.744898,0.255102,0.969388,0.030612,0.938775,0.061225,0.316326,0.244899,0.935714,0.032653,0.0,0.068135,0.047709,0.0,0.0,0.0,0.0,0.0895,0.0895,0.0,0.070872,0.070872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"월요일, 창업한, 창업에, 누구나, 2학점, 이야기를, 아침, 부담없이, 좋고, 않은거라, 채우기도, 사람들한테도, 9시라는게, 갓벽한, 스타트업, ceo가, 구라안치고, 꿀강이자, 교훈과, 인생경험",월요일 아침 1교시...인게 좀 힘들지만 2학점 무난하게 따기 좋습니다 중간 기말 대체 과제 있었고 과제도 한번 있었어요 근데 다 어렵지 않은거라 부담 없었습니다!
8,2086919,0.8521962553294913,0.8031250479258736,0.9666957392712663,4.833478696356331,20,115,4.8,0.96,0.765217,0.234783,0.895652,0.104348,0.926087,0.073913,0.660869,0.152174,0.813913,0.118261,0.0,0.15188,0.106349,0.0,0.158094,0.068862,0.0,0.2146,0.2146,0.0,0.096731,0.096731,0.0,0.0,1.0,0.0,0.079356,0.079356,0.0,0.25,0.055024,"대체, 갓조일, 중간, 발표, 대체과제, 분량이, 아방가르드, 안잡으심, 제출이고, 기말, 시험은, 10페이지, 중간기말, 매년, 예술에, 뭐라, 같아요, 작성하면, 자료, 고명북",그저 갓조일... 중간기말 대체과제인데 시험정보에서 문제 확인하시고 시험기간 되기 전에 미리 써 놓으면 편해요 개념설명 2/3 + 내 생각이나 의견 1/3 분량으로 잘 쓰시면 점수 잘 나올 거예요 분량이 많긴 하지만
9,2376792,0.8515758016004346,0.796207652433514,0.9807681496565827,4.903840748282914,20,168,4.9,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714,0.0,0.37501,0.262589,0.0,0.0,0.0,0.0,0.067786,0.067786,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"박람회, 꿀강입니다, 다녀오면, 전시회, 하나만, 제출하면, 들으면, 됩니다, 영상만, 할것도, 강의도, 레포트, 한번, 좋습니다, 대체과제, 없고, 보고서, 돼요, 주셔서, 되고","중간 기말 시험 없구 한 학기동안 온라인 강의 수강 후 마지막 기말 대체 과제 레포트 하나만 제출하면 되는데 그 마저도 AI 전시회 참관 보고서 (참가 인증, 사진만 첨부) 제출하면 기말 레포트 면제라 정말정말 편하"
10,2748934,0.8512886937363036,0.798818356149849,0.9737194814380312,4.8685974071901565,20,94,4.96,0.992,0.723405,0.276595,0.989362,0.010639,0.978723,0.021277,0.287234,0.441489,0.947873,0.032979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.052453,0.052453,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055398,0.012193,"갓병섭, 10시에, 보내면, 잡으세요, 들어본, 잡을, 9시, 교양, 있으면, 주시고, 높은데는, 아프면, 잡느라, 빠질뻔, 듣고있어요, 수강신청이었습니다, 학문이란, 자고로, 어쩌고, 저쩌고",이 수업에서 가장 어려웠던 건 수강신청이었습니다
