rank,lecture_id,recommendation_score,preference_similarity,predicted_quality_norm,predicted_quality_5pt,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf,top_tfidf_terms,sample_review
1,120875,0.8534747551546096,0.8009907759880077,0.975937373210014,4.879686866050069,20,95,4.87,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0.0,0.05,0.95,0.0,0.053113,0.053113,0.0,0.0,0.0,"연극, 꿀강, 아캠, 보면, 들으세요, 1학점, 보고, 남으면, 면담, 연극이, 꿀강입니다, 교수님이랑, 한번, 짧게, 감상문, 출석만, 번만, 영화, 한번만, 없고",매우 꿀강... 온라인 강의에 과제 없음...
2,2748934,0.8481846514968845,0.794384010093536,0.9737194814380312,4.8685974071901565,20,94,4.96,0.992,0.723405,0.276595,0.989362,0.010639,0.978723,0.021277,0.287234,0.441489,0.947873,0.032979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.052453,0.052453,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055398,0.012193,"갓병섭, 10시에, 보내면, 잡으세요, 들어본, 잡을, 9시, 교양, 있으면, 주시고, 높은데는, 아프면, 잡느라, 빠질뻔, 듣고있어요, 수강신청이었습니다, 학문이란, 자고로, 어쩌고, 저쩌고",이 수업에서 가장 어려웠던 건 수강신청이었습니다
3,2249342,0.8465298322090999,0.7962039023623939,0.9639570018514144,4.819785009257072,9,49,4.84,0.968,0.744898,0.255102,0.969388,0.030612,0.938775,0.061225,0.316326,0.244899,0.935714,0.032653,0.0,0.068135,0.047709,0.0,0.0,0.0,0.0,0.0895,0.0895,0.0,0.070872,0.070872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"월요일, 창업한, 창업에, 누구나, 2학점, 이야기를, 아침, 부담없이, 좋고, 않은거라, 채우기도, 사람들한테도, 9시라는게, 갓벽한, 스타트업, ceo가, 구라안치고, 꿀강이자, 교훈과, 인생경험",월요일 아침 1교시...인게 좀 힘들지만 2학점 무난하게 따기 좋습니다 중간 기말 대체 과제 있었고 과제도 한번 있었어요 근데 다 어렵지 않은거라 부담 없었습니다!
4,1772127,0.8436668243798418,0.7888885095831397,0.9714828922388132,4.857414461194066,20,163,4.67,0.934,0.708589,0.291411,0.947852,0.052147,0.96319,0.03681,0.303681,0.457056,0.869632,0.079755,0.0,0.121219,0.08488,0.0,0.0,0.0,0.0,0.08055,0.08055,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1학점, 남는다면, 꿀교양, 둘다, 편한, 과제도, 꿀강, 많아요, 없어요, 좋은, 없이, 다른수업, 죄송스러운, 가져가게, 출석하기가, 차마시고, 오면됨, 1핫점, 50분은, 보고서였어요",과제 2번 있었고 가서 강의와 교수님이 해주시는 좋은 얘기 듣고오면 됩니다~
5,120992,0.8374043191143916,0.7817491590756604,0.9672663592047643,4.8363317960238215,20,591,4.93,0.986,0.698816,0.301185,0.975465,0.024535,0.969543,0.030457,0.192048,0.63198,0.742725,0.158121,0.0,0.153304,0.107346,0.0,0.079047,0.034431,0.0,0.024356,0.024356,0.0,0.109107,0.109107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"끝내주시고, 정병섭, 짧고, 일찍, 무조건, 들으세요, 중간1, 편의를, 굵게, 좋았음, 성논은, 드리면, 시험도, 항상, 없고, 최고의, 하나도, 편안한, 잡으세요, 주십니다","최고의 명강의 짧고 굵게 성논 강의를 하십니다. 시험은 없고 과제는 중간1, 과제2, 기말1 였던 것 같은데 2-3페이지 정도 쓰니깐 에쁠 나왔어요 👍 출결만 잘 하시면 되는데 이 부분은 교수님께 사정을 잘 말씀 드"
6,2768543,0.8339216345297481,0.7744681941106,0.9726463288410939,4.863231644205469,20,338,4.99,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184,0.0,0.177556,0.124328,0.0,0.079047,0.034431,0.0,0.012178,0.012178,0.0,0.095677,0.095677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"1학점, 하나, 비교과프로그램, 채우기, 들으면, pf입니다, 군학점으로, 1학점짜리, 꿀과목, 낭낭하게, 하나만, 과제, 학점, 온라인으로, 쉬운, 강의입니다, 좋음, 듣기, 굳입니다, 삽가능입니다",굳입니다 날먹 1학점 삽가능입니다!!!!!!
7,2768545,0.8330345456137747,0.7736508424918387,0.9715965195649587,4.857982597824794,20,345,4.99,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.028097,0.028097,0.0,0.096204,0.096204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"상담, 프로그램, 1학점, 진로, 비교과, 상담도, 수강하고, 신청만, 아무거나, 꿀인, 남으면, 하긴, 하라는, 귀찮긴, 개꿀, 되고, 않음, 듣기, 도움이, 상담이랑",편안하게 들으시면 되고 하라는 것만 잘 하시면 됩니다
8,2087310,0.8304496383853616,0.7759583026681771,0.9575960883921253,4.787980441960626,20,63,4.63,0.926,0.904762,0.095238,0.968254,0.031746,0.936508,0.063492,0.428571,0.18254,0.66746,0.107936,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.076222,0.089977,0.0,0.096204,0.096204,0.0,0.1,0.9,0.0,0.032677,0.032677,0.0,0.05,0.011005,"영화, 한국, 영화를, 영화에, 그래도, 쉬워서, 감독, 바라보는, 시험은, 어떻게, 기말고사, 대해, 좋아하면, 영어, 얻는, 흥미롭게, 전반적인, 시험이, 지식을, 대한",외국인 관점에서 바라보는 한국 영화의 현황에 대해 알 수 있었던 수업이었습니다. 영화를 보긴 하지만 오래 보는 것은 아니고 오히려 트레일러 영상을 많이 보게 됩니다. 시험은 아주 쉽게 나오는 편입니다. 하술된 강의평
9,2376792,0.8273165832633473,0.7615516262376751,0.9807681496565827,4.903840748282914,20,168,4.9,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714,0.0,0.37501,0.262589,0.0,0.0,0.0,0.0,0.067786,0.067786,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"박람회, 꿀강입니다, 다녀오면, 전시회, 하나만, 제출하면, 들으면, 됩니다, 영상만, 할것도, 강의도, 레포트, 한번, 좋습니다, 대체과제, 없고, 보고서, 돼요, 주셔서, 되고","중간 기말 시험 없구 한 학기동안 온라인 강의 수강 후 마지막 기말 대체 과제 레포트 하나만 제출하면 되는데 그 마저도 AI 전시회 참관 보고서 (참가 인증, 사진만 첨부) 제출하면 기말 레포트 면제라 정말정말 편하"
10,2768544,0.8271281717096755,0.7630807963703619,0.9765720475014071,4.882860237507035,20,122,4.98,0.996,0.721311,0.278688,0.979509,0.020492,0.963115,0.036885,0.586065,0.045082,0.991803,0.0,0.0,0.261705,0.183251,0.0,0.0,0.0,0.0,0.053444,0.053444,0.0,0.063785,0.063785,0.0,0.0,1.0,0.0,0.035318,0.035318,0.0,0.0,0.0,"1학점, 편하게, 내면, 포트폴리오, 취업, 비교과, 프로그램, 쉽게, 귀찮긴, 마지막에, 꿀강입니다, 과제도, 온라인으로, 보고서, 돼요, 있는, 대체, 좋았어요, 기말, f라서",시험 없음. 과제 두 개. 덕분에 취업 준비할 수 있었어요.
