persona_id,preset_name,vector_field,feature_count,weights_file,top_k,sample_n,selected_review_count
1,low_workload,initial_preference_vector,16,data/persona_weights/persona_001_low_workload_initial_preference_vector.json,30,10,10
2,learning_quality,initial_preference_vector,16,data/persona_weights/persona_002_learning_quality_initial_preference_vector.json,30,10,10
3,balanced,initial_preference_vector,16,data/persona_weights/persona_003_balanced_initial_preference_vector.json,30,10,10
4,grade_focused,initial_preference_vector,16,data/persona_weights/persona_004_grade_focused_initial_preference_vector.json,30,10,10
5,balanced,initial_preference_vector,16,data/persona_weights/persona_005_balanced_initial_preference_vector.json,30,10,10
6,grade_focused,initial_preference_vector,16,data/persona_weights/persona_006_grade_focused_initial_preference_vector.json,30,10,10
7,learning_quality,initial_preference_vector,16,data/persona_weights/persona_007_learning_quality_initial_preference_vector.json,30,10,10
8,low_workload,initial_preference_vector,16,data/persona_weights/persona_008_low_workload_initial_preference_vector.json,30,10,10
9,learning_quality,initial_preference_vector,16,data/persona_weights/persona_009_learning_quality_initial_preference_vector.json,30,10,10
10,grade_focused,initial_preference_vector,16,data/persona_weights/persona_010_grade_focused_initial_preference_vector.json,30,10,10
11,low_workload,initial_preference_vector,16,data/persona_weights/persona_011_low_workload_initial_preference_vector.json,30,10,10
12,low_workload,initial_preference_vector,16,data/persona_weights/persona_012_low_workload_initial_preference_vector.json,30,10,10
13,grade_focused,initial_preference_vector,16,data/persona_weights/persona_013_grade_focused_initial_preference_vector.json,30,10,10
14,low_workload,initial_preference_vector,16,data/persona_weights/persona_014_low_workload_initial_preference_vector.json,30,10,10
15,balanced,initial_preference_vector,16,data/persona_weights/persona_015_balanced_initial_preference_vector.json,30,10,10
16,grade_focused,initial_preference_vector,16,data/persona_weights/persona_016_grade_focused_initial_preference_vector.json,30,10,10
17,balanced,initial_preference_vector,16,data/persona_weights/persona_017_balanced_initial_preference_vector.json,30,10,10
18,grade_focused,initial_preference_vector,16,data/persona_weights/persona_018_grade_focused_initial_preference_vector.json,30,10,10
19,learning_quality,initial_preference_vector,16,data/persona_weights/persona_019_learning_quality_initial_preference_vector.json,30,10,10
20,balanced,initial_preference_vector,16,data/persona_weights/persona_020_balanced_initial_preference_vector.json,30,10,10
