feature_set,model,params,fold,mse,rmse,mae
all_31,Ridge,ridge__alpha=10.0,1.0,0.004299949485129132,0.0655740000696094,0.04518006423783723
all_31,Ridge,ridge__alpha=10.0,2.0,0.0026844914779919253,0.051812078495191885,0.03904788532331314
all_31,Ridge,ridge__alpha=10.0,3.0,0.0034021909043795333,0.058328302773006636,0.04413223431644084
all_31,Ridge,ridge__alpha=10.0,4.0,0.0030685211820787356,0.05539423419525479,0.0426747026591527
all_31,Ridge,ridge__alpha=10.0,5.0,0.0027169677665916676,0.05212454092451719,0.03920722309287954
all_31,SVR-RBF,svr__C=0.3;svr__epsilon=0.03;svr__gamma=scale,1.0,0.005502221310343448,0.07417695943042858,0.05089280287732069
all_31,SVR-RBF,svr__C=0.3;svr__epsilon=0.03;svr__gamma=scale,2.0,0.0031587678394945067,0.0562029166457979,0.042761694921532124
all_31,SVR-RBF,svr__C=0.3;svr__epsilon=0.03;svr__gamma=scale,3.0,0.004072927311665218,0.06381949006114995,0.045355969929274834
all_31,SVR-RBF,svr__C=0.3;svr__epsilon=0.03;svr__gamma=scale,4.0,0.003877600887042775,0.062270385313106705,0.047340195545315635
all_31,SVR-RBF,svr__C=0.3;svr__epsilon=0.03;svr__gamma=scale,5.0,0.0035584907671314305,0.059653086819806994,0.04656458593092653
all_31,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,1.0,0.00411620804634578,0.06415768111727371,0.0438876736699536
all_31,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,2.0,0.002910118050304591,0.05394551001060784,0.03970586890094908
all_31,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,3.0,0.0034927992282647695,0.05909990886849801,0.04434443957117382
all_31,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,4.0,0.0033171042087242,0.05759430708606711,0.04269718478466475
all_31,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,5.0,0.0029484656096140736,0.05429977541034653,0.04044831054770442
all_31,Random Forest,max_depth=12;min_samples_leaf=3,1.0,0.004828967154260075,0.06949077028109614,0.047415991708717534
all_31,Random Forest,max_depth=12;min_samples_leaf=3,2.0,0.0026843725748546873,0.05181093103636227,0.03825844845473638
all_31,Random Forest,max_depth=12;min_samples_leaf=3,3.0,0.0031951158299581535,0.056525355637608805,0.04195670723599973
all_31,Random Forest,max_depth=12;min_samples_leaf=3,4.0,0.0035572142747997996,0.059642386561905784,0.04424551105284181
all_31,Random Forest,max_depth=12;min_samples_leaf=3,5.0,0.002662446425996923,0.05159889946497816,0.038918889848733304
all_31,Extra Trees,max_depth=8;min_samples_leaf=6,1.0,0.005022992105430532,0.07087307038241346,0.04804574197345932
all_31,Extra Trees,max_depth=8;min_samples_leaf=6,2.0,0.0026478918628496926,0.05145767059292222,0.03909225164741992
all_31,Extra Trees,max_depth=8;min_samples_leaf=6,3.0,0.0031332222456815157,0.05597519312768394,0.041687159672884055
