feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
leakage_safe,Kernel Ridge-RBF,kernelridge__alpha=0.01;kernelridge__gamma=0.001,5,0.00722578,0.00190496,0.08430563,0.01087851,0.06168934,0.00561432
leakage_safe,Ridge,ridge__alpha=10.0,5,0.00729152,0.00184298,0.0847415,0.01050705,0.06221016,0.00557498
leakage_safe,Random Forest,max_depth=6;min_samples_leaf=3,5,0.00766603,0.00226455,0.08667138,0.0124137,0.06357092,0.00691999
leakage_safe,Histogram Gradient Boosting,l2_regularization=0.0;learning_rate=0.05;max_iter=100;max_leaf_nodes=7,5,0.0076559,0.00217248,0.08667362,0.01198283,0.06275712,0.00717503
leakage_safe,Extra Trees,max_depth=8;min_samples_leaf=3,5,0.0077351,0.00215272,0.0871576,0.011775,0.06321985,0.00653203
leakage_safe,Gradient Boosting,learning_rate=0.05;loss=huber;max_depth=2;n_estimators=100,5,0.00781928,0.00242434,0.08739896,0.01344266,0.06275275,0.00771101
leakage_safe,Content KNN,k=20,5,0.00785616,0.0022091,0.08776978,0.012354,0.0646344,0.00667833
leakage_safe,SVR-RBF,svr__C=0.3;svr__epsilon=0.05;svr__gamma=scale,5,0.0082445,0.00213094,0.0900538,0.01161095,0.0665613,0.00627715
leakage_safe,Stacking Ensemble,,5,0.00902793,0.00214316,0.0942902,0.01171717,0.07264326,0.0061968
leakage_safe,Graph-augmented MLP,hidden_dim=16;learning_rate=0.003;epochs=500,5,0.0427747,0.0073154,0.20609465,0.01731164,0.15810297,0.01287177
