model,params,fold,mse,rmse,mae
Train Mean,,1,0.01293587833387217,0.11373600280417881,0.08812316560691734
Ridge Regression,alpha=0.0,1,0.0033422660409937518,0.0578123346786285,0.044199704247578575
Ridge Regression,alpha=0.001,1,0.0033666817332744887,0.05802311378471935,0.0444200919585542
Ridge Regression,alpha=0.01,1,0.003366614577816487,0.0580225350860895,0.04441914607518696
Ridge Regression,alpha=0.1,1,0.0033659475223732005,0.05801678655676476,0.04440974534831118
Ridge Regression,alpha=1.0,1,0.003359739072793676,0.057963256230078,0.04435178454093881
Ridge Regression,alpha=10.0,1,0.003322299943289454,0.05763939575749779,0.04398152471368465
Ridge Regression,alpha=100.0,1,0.003237240616523257,0.05689675400691376,0.043110097105518774
Content KNN,k=1,1,0.011795284768211923,0.10860609912989197,0.07578807947019867
Content KNN,k=3,1,0.005670456944931996,0.07530243651391365,0.05587249397478639
Content KNN,k=5,1,0.004877580384459581,0.06983967629119983,0.054525736666371956
Content KNN,k=7,1,0.004471864945759903,0.06687200420026233,0.052037223179801285
Content KNN,k=10,1,0.004098085212537511,0.06401628865013584,0.04971899095439627
Content KNN,k=15,1,0.003914113239462247,0.06256287429028695,0.048031060890965586
Content KNN,k=20,1,0.0038366571805552984,0.06194075540833594,0.047147548415129005
Content KNN,k=30,1,0.003878900517145573,0.06228081981754554,0.04740945318883642
Graph-augmented MLP,hidden_dim=16;lr=0.01;epochs=300,1,0.018153872665447435,0.13473630789600638,0.1010590945576672
Graph-augmented MLP,hidden_dim=32;lr=0.01;epochs=300,1,0.047105351773699906,0.21703767362764445,0.15814148009638482
Graph-augmented MLP,hidden_dim=64;lr=0.03;epochs=800,1,0.017446712949044655,0.1320860058789146,0.1045426164613257
Train Mean,,2,0.014557675830442348,0.12065519396380062,0.09326903698488484
Ridge Regression,alpha=0.0,2,0.0028239345481480085,0.05314070519054116,0.03939468018308187
Ridge Regression,alpha=0.001,2,0.0028071314122584843,0.052982368881152195,0.039247937628166356
Ridge Regression,alpha=0.01,2,0.0028071746197928624,0.05298277663347649,0.039248292817723754
Ridge Regression,alpha=0.1,2,0.002807606814389936,0.05298685510945084,0.03925182433043692
Ridge Regression,alpha=1.0,2,0.0028119248807833494,0.05302758603579225,0.03928580027227606
Ridge Regression,alpha=10.0,2,0.002850167509011154,0.05338696010273627,0.0395641695435342
Ridge Regression,alpha=100.0,2,0.003046937611995964,0.05519907256463612,0.04076732365821829
Content KNN,k=1,2,0.008170860927152319,0.0903928145770023,0.06354966887417218
Content KNN,k=3,2,0.00548095523399755,0.07403347373990735,0.04948399309510569
Content KNN,k=5,2,0.004823689736383346,0.06945278782297616,0.046974272498311063
Content KNN,k=7,2,0.004358023032239814,0.06601532422278795,0.044542553716298984
Content KNN,k=10,2,0.004265239325910183,0.06530879975860973,0.04525639039854686
Content KNN,k=15,2,0.004301598954212997,0.06558657602141613,0.046038607862970655
Content KNN,k=20,2,0.004340661234795269,0.0658836947567095,0.04609956374274248
Content KNN,k=30,2,0.004429919739427629,0.06655764223158472,0.04631715675267773
Graph-augmented MLP,hidden_dim=16;lr=0.01;epochs=300,2,0.02332299071560589,0.15271866524955582,0.11722109235861752
Graph-augmented MLP,hidden_dim=32;lr=0.01;epochs=300,2,0.03698826635972647,0.1923233380526827,0.1450231273384113
Graph-augmented MLP,hidden_dim=64;lr=0.03;epochs=800,2,0.0386978444908774,0.1967176771184466,0.13872635745296236
Train Mean,,3,0.011361753687352394,0.1065915272775111,0.09134338078370112
Ridge Regression,alpha=0.0,3,0.002807593021991003,0.052986724960040726,0.03910247509662524
Ridge Regression,alpha=0.001,3,0.0026677831284730893,0.0516505869131522,0.03807783824561758
Ridge Regression,alpha=0.01,3,0.0026677505538193007,0.051650271575465125,0.03807778773483007
Ridge Regression,alpha=0.1,3,0.002667435109116213,0.05164721782551518,0.038077289288353224
