feature_set,model,params,fold,mse,rmse,mae
structured10+kobert_pca32,Ridge,alpha=10.0,1,0.008662896230816841,0.09307468093319923,0.06712044775485992
structured10+kobert_pca32,Ridge,alpha=10.0,2,0.00519881397485733,0.07210280143557066,0.05630869418382645
structured10+kobert_pca32,Ridge,alpha=10.0,3,0.00845251977443695,0.09193758629873285,0.06682893633842468
structured10+kobert_pca32,Ridge,alpha=10.0,4,0.0057553513906896114,0.07586403225962625,0.05811687558889389
structured10+kobert_pca32,Ridge,alpha=10.0,5,0.006594489328563213,0.08120646112572086,0.056572075933218
structured10+kobert_pca32,Kernel Ridge-RBF,alpha=0.01;gamma=0.0001,1,0.008884750306606293,0.0942589534559253,0.07150375843048096
structured10+kobert_pca32,Kernel Ridge-RBF,alpha=0.01;gamma=0.0001,2,0.005511519964784384,0.0742396118307766,0.05830229073762894
structured10+kobert_pca32,Kernel Ridge-RBF,alpha=0.01;gamma=0.0001,3,0.009215413592755795,0.09599694574701736,0.06997698545455933
structured10+kobert_pca32,Kernel Ridge-RBF,alpha=0.01;gamma=0.0001,4,0.006441522389650345,0.08025909537024664,0.05975304916501045
structured10+kobert_pca32,Kernel Ridge-RBF,alpha=0.01;gamma=0.0001,5,0.008146109990775585,0.09025580308642533,0.061433322727680206
structured10+kobert_pca32,Content KNN,n_neighbors=20,1,0.013059275697707384,0.11427718800227535,0.08462733740838158
structured10+kobert_pca32,Content KNN,n_neighbors=20,2,0.007350597075030323,0.08573562313898653,0.06893838557186506
structured10+kobert_pca32,Content KNN,n_neighbors=20,3,0.01393297914993639,0.11803804111360197,0.09135389959575324
structured10+kobert_pca32,Content KNN,n_neighbors=20,4,0.01070000481736533,0.10344082761349761,0.08041201829910279
structured10+kobert_pca32,Content KNN,n_neighbors=20,5,0.01179645066026967,0.10861146652296741,0.08348472853501637
structured10+kobert_pca32,SVR-RBF,C=0.3;epsilon=0.05;gamma=0.001,1,0.00952514271729442,0.0975968376398253,0.07239988403949689
structured10+kobert_pca32,SVR-RBF,C=0.3;epsilon=0.05;gamma=0.001,2,0.004659291208127704,0.06825900093121569,0.05559038666416385
structured10+kobert_pca32,SVR-RBF,C=0.3;epsilon=0.05;gamma=0.001,3,0.009496855733430986,0.09745181236606627,0.07307180569833902
structured10+kobert_pca32,SVR-RBF,C=0.3;epsilon=0.05;gamma=0.001,4,0.007349458672245308,0.08572898385170157,0.0624443241736484
structured10+kobert_pca32,SVR-RBF,C=0.3;epsilon=0.05;gamma=0.001,5,0.008630281964312824,0.09289931089256165,0.06799268361753197
structured10+kobert_pca32,Random Forest,max_depth=None;max_features=0.7;min_samples_leaf=3,1,0.01120914226201376,0.10587323675988072,0.07392435742759162
structured10+kobert_pca32,Random Forest,max_depth=None;max_features=0.7;min_samples_leaf=3,2,0.0054891883928055805,0.07408905717314522,0.05768033953696495
structured10+kobert_pca32,Random Forest,max_depth=None;max_features=0.7;min_samples_leaf=3,3,0.008974649093343964,0.09473462457488267,0.06768844089594737
