feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,epochs_mean
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01317632,0.00277082,0.11404063,0.01307863,0.08787229,0.00954096,568.4
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.01607061,0.00342452,0.12596391,0.01427234,0.09616498,0.0105339,826.4
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.01614326,0.00140782,0.12693712,0.00549769,0.09339939,0.00476242,416.4
structured10+kobert_pca32,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01681329,0.00589153,0.12767957,0.02261008,0.09505476,0.0177906,990.4
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.01732885,0.00144467,0.13152418,0.00549933,0.09614654,0.00468997,924.0
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.0213658,0.00365171,0.1456699,0.01208627,0.10519347,0.00577258,831.6
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.02157332,0.00357777,0.14642286,0.01156139,0.11128609,0.00913126,878.6
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.02716362,0.00763226,0.16297435,0.02455568,0.11820532,0.01770085,940.6
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.02754846,0.01582423,0.15964417,0.04541146,0.12143705,0.0348198,784.6
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.03044361,0.00776131,0.17305772,0.02224045,0.12959434,0.01343244,472.2
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.03523832,0.00744318,0.18660272,0.02043874,0.13866638,0.01419715,1000.0
structured10+kobert_pca32,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.03634236,0.01704373,0.18555077,0.04374092,0.13702772,0.03606289,1000.0
structured10+kobert_pca32,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.03807386,0.01223144,0.19243848,0.0322691,0.14395924,0.02169226,150.6
