feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
leakage_safe,Content KNN,k=20,5,0.00785616,0.0022091,0.08776978,0.012354,0.0646344,0.00667833
leakage_safe,Content KNN,k=15,5,0.00791933,0.00221726,0.08813699,0.01229623,0.06478229,0.00696854
leakage_safe,Content KNN,k=30,5,0.00795066,0.00216007,0.0883387,0.01212179,0.06578127,0.00617306
leakage_safe,Content KNN,k=40,5,0.00797315,0.00211137,0.08849792,0.01188549,0.06605204,0.00592064
leakage_safe,Content KNN,k=50,5,0.00803328,0.00212352,0.08883262,0.01191816,0.0665544,0.00584812
leakage_safe,Content KNN,k=10,5,0.00824102,0.00232233,0.0898926,0.01266248,0.06582338,0.0067603
leakage_safe,Content KNN,k=7,5,0.00867872,0.00230596,0.09234411,0.01229984,0.06694138,0.00680484
leakage_safe,Content KNN,k=5,5,0.00914846,0.00230328,0.09491382,0.01182496,0.06893045,0.00673574
leakage_safe,Content KNN,k=3,5,0.0104551,0.00199653,0.10180986,0.00947914,0.07485475,0.0062006
leakage_safe,Content KNN,k=1,5,0.01674938,0.00147125,0.12929147,0.00575273,0.09139401,0.0049411
leakage_safe,Graph-augmented MLP,hidden_dim=16;learning_rate=0.003;epochs=500,5,0.0427747,0.0073154,0.20609465,0.01731164,0.15810297,0.01287177
leakage_safe,Graph-augmented MLP,hidden_dim=64;learning_rate=0.01;epochs=800,5,0.0443037,0.0082143,0.20958573,0.01942985,0.15666461,0.01425034
leakage_safe,Graph-augmented MLP,hidden_dim=32;learning_rate=0.003;epochs=500,5,0.05656493,0.00613169,0.23748396,0.01289576,0.18017173,0.01010287
leakage_safe,Graph-augmented MLP,hidden_dim=8;learning_rate=0.003;epochs=300,5,0.06023077,0.0091116,0.24469739,0.01881376,0.1932201,0.01048896
leakage_safe,Graph-augmented MLP,hidden_dim=16;learning_rate=0.001;epochs=300,5,0.24254009,0.01821905,0.49214428,0.01827853,0.40886163,0.02366069
