alpha,train_rmse_mean,train_rmse_std,valid_rmse_mean,valid_rmse_std,coefficient_l2_norm_mean
0.0,0.07755902,0.0024814,0.08287123,0.00889052,2186.94537827
0.001,0.07779531,0.00227886,0.08286832,0.00837371,0.07190214
0.01,0.07779534,0.00227887,0.08286819,0.00837375,0.07111925
0.1,0.07779563,0.00227896,0.082867,0.00837415,0.07095775
0.3,0.07779633,0.00227915,0.08286444,0.00837505,0.07062318
1.0,0.07779946,0.00227969,0.08285652,0.00837819,0.06949957
3.0,0.07781282,0.00228058,0.0828413,0.00838708,0.06664969
10.0,0.07788495,0.00227941,0.08283711,0.00841587,0.05963329
30.0,0.07809825,0.00227162,0.08292574,0.00848115,0.05069651
100.0,0.07855199,0.00225067,0.08318905,0.00866518,0.0431749
300.0,0.0795594,0.0021942,0.08391625,0.00913943,0.0371372
1000.0,0.08333597,0.00204399,0.08715824,0.01003926,0.02750081
