alpha,gamma,train_rmse_mean,train_rmse_std,valid_rmse_mean,valid_rmse_std,valid_mse_mean,valid_mae_mean,generalization_gap
1e-06,1e-06,0.08327801,0.00291516,0.08471547,0.01054774,0.00728797,0.0621989,0.00143746
1e-06,3e-06,0.08277751,0.00295229,0.08452611,0.01066899,0.00725849,0.06198972,0.00174861
1e-06,1e-05,0.08023727,0.00294251,0.08405627,0.01107633,0.00718814,0.06148077,0.003819
1e-06,3e-05,0.07672227,0.00269594,0.08536604,0.0106198,0.00740014,0.06263176,0.00864377
1e-06,0.0001,0.07448259,0.00263957,0.08931388,0.0101172,0.00807933,0.06543827,0.01483129
1e-06,0.0003,0.06937837,0.00272137,0.09186061,0.01110204,0.00856163,0.06704276,0.02248224
1e-06,0.001,0.05555489,0.0023847,0.11920361,0.00648558,0.01425156,0.08224978,0.06364872
1e-06,0.003,0.03745274,0.00198653,0.17418561,0.01671772,0.03062011,0.11657688,0.13673287
1e-06,0.01,0.00815143,0.00068554,0.24553646,0.01597587,0.06054338,0.17002567,0.23738503
1e-06,0.03,0.00025343,3.221e-05,0.22698895,0.02135141,0.05197987,0.16045023,0.22673552
3e-06,1e-06,0.08332958,0.00290959,0.08472537,0.01053329,0.00728934,0.06220878,0.00139579
3e-06,3e-06,0.08314117,0.00292777,0.08465853,0.01058148,0.00727903,0.06213475,0.00151736
3e-06,1e-05,0.08174346,0.00297919,0.0842355,0.01088098,0.00721401,0.06167168,0.00249204
3e-06,3e-05,0.07839743,0.00282942,0.08430143,0.01104359,0.00722869,0.0617439,0.00590401
3e-06,0.0001,0.07531603,0.00262723,0.08755889,0.01013956,0.00776937,0.06414654,0.01224286
3e-06,0.0003,0.07211024,0.00269457,0.090526,0.01041692,0.00830347,0.06614658,0.01841576
3e-06,0.001,0.06037109,0.00253208,0.10319188,0.01081336,0.01076549,0.07457947,0.04282079
3e-06,0.003,0.04374184,0.00214978,0.15459782,0.01222906,0.02405004,0.10283326,0.11085598
3e-06,0.01,0.01456273,0.00094734,0.22221455,0.01396046,0.0495742,0.15214533,0.20765181
3e-06,0.03,0.00073487,8.959e-05,0.22509782,0.02109032,0.05111383,0.15894652,0.22436296
1e-05,1e-06,0.08337604,0.00290373,0.08472263,0.01051834,0.00728856,0.06219809,0.00134659
1e-05,3e-06,0.08328955,0.00291358,0.08470749,0.01054189,0.00728649,0.06218764,0.00141794
1e-05,1e-05,0.0827231,0.00295471,0.08450268,0.01067948,0.00725475,0.06196407,0.00177959
1e-05,3e-05,0.08040474,0.00294939,0.08406389,0.01105901,0.00718904,0.0614929,0.00365916
1e-05,0.0001,0.07656327,0.00268707,0.08551754,0.01057266,0.00742503,0.06272316,0.00895427
1e-05,0.0003,0.07400025,0.00265003,0.08909344,0.01018853,0.00804145,0.06527132,0.01509319
1e-05,0.001,0.06518569,0.00267879,0.09410531,0.01163691,0.00899123,0.06913451,0.02891962
1e-05,0.003,0.05007839,0.00222914,0.13269858,0.00471016,0.0176311,0.0895301,0.08262019
