feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,epochs_mean
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.00800747,0.00201155,0.08881628,0.01091493,0.06525596,0.00686249,361.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.00822517,0.00224989,0.08989937,0.01196961,0.06626997,0.00760487,697.8
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(8,);learning_rate_init=0.003",5,0.00826432,0.00216049,0.09019902,0.01133368,0.06497425,0.00568889,519.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.00836151,0.00305005,0.0900348,0.01597648,0.06494492,0.00926341,364.0
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(8,);learning_rate_init=0.003",5,0.00845007,0.00240813,0.09110604,0.01223768,0.06701001,0.00749366,648.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.00853923,0.00275872,0.09127407,0.01443161,0.06612365,0.00816383,607.8
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.00860849,0.00218605,0.09209485,0.0112709,0.06743941,0.00680234,470.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.00863256,0.00172825,0.09247354,0.00901159,0.06819022,0.00525319,331.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.00874141,0.00197677,0.09294651,0.01011696,0.06815333,0.00676824,476.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.00875533,0.00178192,0.09311931,0.00917168,0.068312,0.00604108,616.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.1;hidden_layer_sizes=(8,);learning_rate_init=0.001",5,0.00889135,0.00180542,0.09382788,0.00936348,0.06822079,0.00404888,905.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(8,);learning_rate_init=0.003",5,0.00892959,0.00196147,0.09396301,0.01002713,0.06848911,0.00522789,454.0
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.00895789,0.00254166,0.09371797,0.01322253,0.06949141,0.00770831,723.0
