lecture_id,top_tfidf_terms
103298,"계량, 현실에, 리뷰, 중간고사는, 적극, 관련된, 추천합니다, 이걸, 피자파티도, 기말은, 아마, 예상문제를, 우리나라, 현실적인, 현실, 노동, 물론이고, 대한, 있어서, 2명"
103300,"모르겠음, 한번도, 기준을, 경제학보단, 편향적인, 경제사, 7장, 중간, 기말, 중간기말, 교재, 에이제로, 없고, 성향이, 10장, 정치적, 하나도, 안함, 한국, 말하는"
103304,"paper도, term, 성적은, 개념을, 있고, 가정, 기출에서, 과제, 원리를, 과제는, 과제가, 경우에는, 쁠을, 어려운, 모두, 거기서, 시험은, 학기, 좋으시고, 강의력"
103316,"갓정윤, 퀴즈가, 잘해주셔서, 물리, 쉽게, 강의력이, 퀴즈도, 잘하시고, 교수님은, 다만, 또한, 학생들을, 설명을, 최고의, 듣기, 충분히, 쉽게이해할수, 느낍니다, 자주있으며, 2문제정도를"
103317,"레포트, 실험하는데, 실험환경이, 개쓰레기인거, 풀만한정도, 토질역학, 7판, braja, das, 골때리는게, 실험하는거야, 실험실, 흙에, 묻게, 실험실임, 오후반, 나눠서함, 오전은, 오후는, 오후에"
103381,"외울게, 바이오재료, 생물, 유기화학, 분야에, 내용도, 이해도, 듣게, 학점은, 추천함, 논문, 발표가, 거의, 다른, 학점, 너그럽게, 매번, 주셔서, 많습니다, 시험에"
103393,"시험은, 하루는, 진행했는데, 두번째, 되게, 동영상, 깔끔한, 가르쳐, 문제들이, 좋으시고, 오프라인으로, 1시간, 수업때, 모르겠어요, 시험도, 나오는데, 한국어로, 나오고, 매주, 오프라인"
103412,"중간, 강의력, 기말, 좋고, 팀플, 에이쁠, 강의력이, 과제, 친절하십니다, 하지만, 생각, 관심이, 아예, 좋은, 들었습니다, 강의도, 있으면, 시험은, 듣기, 부담이"
103522,"퀴즈는, 5번, 퀴즈, 퀴즈에서, 다른, 남기고, 퀴즈를, 퀴즈에, 귀찮을, 개념, 말씀이, 어렵지, 질문, 2주에, 대신, 않아요, 되고, 중요한, 위주로, 하나"
103534,"좋은, 조별과제가, 기본적인, 학점, 교안만, 정외과, ppt, 위주로, 듣기, 주시지만, 레포트를, 의외로, 공부, 친절히, 내용도, 에이플, 질문에, 오픈북이라, 온라인이라, 필기"
103544,"수업열심히, 암기해야하는, 강조하시는, 단순, 듣는게, 부분, 과목입니다, 나오고, 부분이, 중요한, 시험에, 위주로, 교수님께서"
103642,"설명해, 시험도, 반복적으로, 학점도, 높은, 친절하게, 개념, 강의입니다, 설명, 주셔서, 중요한, 이해가, 매너, 확정임, 인자하심, 잘봐주, 개념설명을, 최고의강의, 잘쥬심, 전달해주시는"
103684,"과제, 못하면, 시험은, 한국어, 과제가, opengl, 선대나, 빨강, 파랑, 생각, 어렵고, 난이도가, 공부했고, 과제를, 들은, 조금, 신경써서, 제대로, 과제는, 생각합니다"
103689,"창의적, 글쓰기, 어법, 쓰고, 수정하는, 성찰적, 50퍼, 강의는, 빡세요, 열심히, 기간에, 출튀는, 주시는, 듣고, 다음, 모르겠고, 시험도, 굳이, 없고, 평가"
103691,"교수님은, 글쓰기, 열정적이시고, 과제가, 수정하면, 많은, 수업시간마다, 교수님이, 좋으십니다, 착하심, 면담, 그닥, 어렵지는, 과제도, 글을, 과제는, 많아요, 점수가, 배울, 쓰는"
